exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,-0.0005369754008568333,0.5373926703531786,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,-0.0005369754008568333,-0.5373926703531786,0.0,0.0
1,0,1,-1.4014709944318083e-21,-1.0743251266623628,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,-1.4014709944318083e-21,1.0743251266623628,0.0,0.0
2,1,0,4.733440428208576e-13,2.6305578056035404e-5,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,4.733440428208576e-13,-2.6305578056035404e-5,0.0,0.0
1,0,2,1.0001085533089127,1.0735807079304054,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,1.0001085533089127,-1.0735807079304054,0.0,0.0
2,1,1,-2.4462061041373047e-5,1.3076453006428286e-5,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,-2.4462061041373047e-5,-1.3076453006428286e-5,0.0,0.0
1,0,3,-0.4997218637238999,-0.6784676172766887,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,-0.4997218637238999,0.6784676172766887,0.0,0.0
3,2,0,-4.58278127954938e-13,-2.0457844613923885e-9,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,-4.58278127954938e-13,2.0457844613923885e-9,0.0,0.0
2,1,2,-4.88207302265654e-5,-2.9590860944780687e-6,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,-4.88207302265654e-5,2.9590860944780687e-6,0.0,0.0
1,0,4,0.881701662499621,1.6074627134412298,0.0,0.0,0.0,0.0
0,1,4,0.0,-0.0,0.881701662499621,-1.6074627134412298,0.0,0.0
