exp_1,exp_2,exp_3,exp_4,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im,R4_re,R4_im
1,0,0,0,-0.0005369754008568333,0.5489201483617312,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0.0,0.0,-0.0005369754008568333,-0.5489201483617312,0.0,0.0,0.0,0.0
1,0,1,0,2.478421878794627e-21,-1.0947948560589909,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,9.732363036908371e-26,-2.0032979083055455e-14,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0.0,-0.0,2.478421878794627e-21,1.0947948560589909,0.0,0.0,0.0,0.0
0,1,0,1,0.0,-0.0,9.732363036908371e-26,2.0032979083055455e-14,0.0,0.0,0.0,0.0
2,1,0,0,4.832535305386421e-13,2.6578574205860074e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0,0.0,-0.0,4.832535305386421e-13,-2.6578574205860074e-5,0.0,0.0,0.0,0.0
1,0,2,0,0.9977614577423507,1.0894399210772652,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1.827198780312546e-14,-1.520627508095742e-6,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,2,-2.58067816865292e-23,0.0038695448004723272,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,0.0,-0.0,0.9977614577423507,-1.0894399210772652,0.0,0.0,0.0,0.0
0,1,1,1,0.0,-0.0,1.827198780312546e-14,1.520627508095742e-6,0.0,0.0,0.0,0.0
0,1,0,2,0.0,-0.0,-2.58067816865292e-23,-0.0038695448004723272,0.0,0.0,0.0,0.0
2,1,1,0,-2.4196947646700413e-5,1.3123981601024777e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0,0.0,-0.0,-2.4196947646700413e-5,-1.3123981601024777e-5,0.0,0.0,0.0,0.0
1,0,3,0,-0.49678058103708633,-0.719134989344289,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,1,-2.631379974292983e-6,-5.848676554485565e-6,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,2,-0.0035228035836405457,-0.005800687915181124,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,3,6.31627590528992e-20,3.8011321656150734e-9,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,0.0,-0.0,-0.49678058103708633,0.719134989344289,0.0,0.0,0.0,0.0
