theta1,theta2,model,amplitude,shift
-0.100000,0.000000,exact,0.0000001424,0.0000000000
-0.100000,0.000000,exact,0.0476793675,0.0000040853
-0.100000,0.000000,exact,0.0953585925,0.0000163406
-0.100000,0.000000,exact,0.1430378175,0.0000367646
-0.100000,0.000000,exact,0.1907170425,0.0000653550
-0.100000,0.000000,exact,0.2383962676,0.0001021085
-0.100000,0.000000,exact,0.2860754926,0.0001470210
-0.100000,0.000000,exact,0.3337547176,0.0002000875
-0.100000,0.000000,exact,0.3814339427,0.0002613020
-0.100000,0.000000,exact,0.4291131677,0.0003306577
-0.100000,0.000000,exact,0.4767923927,0.0004081466
-0.100000,0.000000,exact,0.5244716177,0.0004937602
-0.100000,0.000000,exact,0.5721508428,0.0005874889
-0.100000,0.000000,exact,0.6198300678,0.0006893221
-0.100000,0.000000,exact,0.6675092928,0.0007992486
-0.100000,0.000000,exact,0.7151885178,0.0009172560
-0.100000,0.000000,exact,0.7628677429,0.0010433312
-0.100000,0.000000,exact,0.8105469679,0.0011774602
-0.100000,0.000000,exact,0.8582261929,0.0013196281
-0.100000,0.000000,exact,0.9059054179,0.0014698192
-0.100000,0.000000,exact,0.9535846430,0.0016280168
-0.100000,0.000000,exact,1.0012638680,0.0017942036
-0.100000,0.000000,exact,1.0489430930,0.0019683611
-0.100000,0.000000,exact,1.0966223180,0.0021504704
-0.100000,0.000000,exact,1.1443015431,0.0023405115
-0.100000,0.000000,exact,1.1919807681,0.0025384636
-0.100000,0.000000,exact,1.2396599931,0.0027443051
-0.100000,0.000000,exact,1.2873392181,0.0029580138
-0.100000,0.000000,exact,1.3350184432,0.0031795663
-0.100000,0.000000,exact,1.3826976682,0.0034089389
-0.100000,0.000000,exact,1.4303768932,0.0036461068
-0.100000,0.000000,exact,1.4780561183,0.0038910446
-0.100000,0.000000,exact,1.5257353433,0.0041437260
-0.100000,0.000000,exact,1.5734145683,0.0044041242
-0.100000,0.000000,exact,1.6210937933,0.0046722114
-0.100000,0.000000,exact,1.6687730184,0.0049479594
-0.100000,0.000000,exact,1.7164522434,0.0052313390
-0.100000,0.000000,exact,1.7641314684,0.0055223204
-0.100000,0.000000,exact,1.8118106934,0.0058208733
-0.100000,0.000000,exact,1.8594899185,0.0061269664
-0.100000,0.000000,exact,1.9071691435,0.0064405681
-0.100000,0.000000,exact,1.9548483685,0.0067616459
-0.100000,0.000000,exact,2.0025275935,0.0070901668
