theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
-0.167000,0.000000,0.000000,0.79015581,0.76674213,2.963172e-02
-0.162788,0.000000,0.000000,0.78225361,0.76024803,2.813100e-02
-0.158576,0.000000,0.000000,0.77446932,0.75381418,2.667005e-02
-0.154364,0.000000,0.000000,0.76680059,0.74743979,2.524880e-02
-0.150152,0.000000,0.000000,0.75924514,0.74112409,2.386719e-02
-0.145939,0.000000,0.000000,0.75180075,0.73486631,2.252518e-02
-0.141727,0.000000,0.000000,0.74446527,0.72866569,2.122273e-02
-0.137515,0.000000,0.000000,0.73723658,0.72252150,1.995978e-02
-0.133303,0.000000,0.000000,0.73011261,0.71643301,1.873628e-02
-0.129091,0.000000,0.000000,0.72309135,0.71039951,1.755220e-02
-0.124879,0.000000,0.000000,0.71617084,0.70442028,1.640747e-02
-0.120667,0.000000,0.000000,0.70934915,0.69849465,1.530206e-02
-0.116455,0.000000,0.000000,0.70262443,0.69262193,1.423591e-02
-0.112242,0.000000,0.000000,0.69599483,0.68680146,1.320897e-02
-0.108030,0.000000,0.000000,0.68945857,0.68103257,1.222118e-02
-0.103818,0.000000,0.000000,0.68301391,0.67531464,1.127250e-02
-0.099606,0.000000,0.000000,0.67665915,0.66964702,1.036287e-02
-0.095394,0.000000,0.000000,0.67039262,0.66402911,9.492220e-03
-0.091182,0.000000,0.000000,0.66421270,0.65846029,8.660487e-03
-0.086970,0.000000,0.000000,0.65811780,0.65293998,7.867617e-03
-0.082758,0.000000,0.000000,0.65210636,0.64746759,7.113521e-03
-0.078545,0.000000,0.000000,0.64617687,0.64204255,6.398129e-03
-0.074333,0.000000,0.000000,0.64032784,0.63666431,5.721349e-03
-0.070121,0.000000,0.000000,0.63455784,0.63133232,5.083106e-03
-0.065909,0.000000,0.000000,0.62886544,0.62604605,4.483295e-03
-0.061697,0.000000,0.000000,0.62324925,0.62080498,3.921818e-03
-0.057485,0.000000,0.000000,0.61770792,0.61560860,3.398564e-03
-0.053273,0.000000,0.000000,0.61224014,0.61045642,2.913417e-03
-0.049061,0.000000,0.000000,0.60684459,0.60534796,2.466246e-03
-0.044848,0.000000,0.000000,0.60152002,0.60028274,2.056921e-03
-0.040636,0.000000,0.000000,0.59626519,0.59526031,1.685290e-03
-0.036424,0.000000,0.000000,0.59107888,0.59028021,1.351206e-03
-0.032212,0.000000,0.000000,0.58595991,0.58534202,1.054490e-03
-0.028000,0.000000,0.000000,0.58090711,0.58044531,7.949762e-04
-0.023788,0.000000,0.000000,0.57591937,0.57558967,5.724747e-04
-0.019576,0.000000,0.000000,0.57099555,0.57077470,3.867650e-04
-0.015364,0.000000,0.000000,0.56613457,0.56600003,2.376446e-04
-0.011152,0.000000,0.000000,0.56133537,0.56126527,1.248827e-04
-0.006939,0.000000,0.000000,0.55659692,0.55657007,4.823613e-05
-0.002727,0.000000,0.000000,0.55191817,0.55191407,7.429559e-06
0.001485,0.000000,0.000000,0.54729815,0.54729694,2.200877e-06
0.005697,0.000000,0.000000,0.54273586,0.54271836,3.223929e-05
0.009909,0.000000,0.000000,0.53823035,0.53817801,9.724362e-05
0.014121,0.000000,0.000000,0.53378069,0.53367560,1.968805e-04
0.018333,0.000000,0.000000,0.52938596,0.52921083,3.308032e-04
0.022545,0.000000,0.000000,0.52504524,0.52478344,4.986281e-04
0.026758,0.000000,0.000000,0.52075767,0.52039315,6.999839e-04
0.030970,0.000000,0.000000,0.51652238,0.51603972,9.344531e-04
0.035182,0.000000,0.000000,0.51233852,0.51172290,1.201582e-03
0.039394,0.000000,0.000000,0.50820527,0.50744248,1.500945e-03
0.043606,0.000000,0.000000,0.50412181,0.50319824,1.832035e-03
0.047818,0.000000,0.000000,0.50008734,0.49898997,2.194356e-03
0.052030,0.000000,0.000000,0.49610109,0.49481749,2.587377e-03
0.056242,0.000000,0.000000,0.49216228,0.49068061,3.010529e-03
0.060455,0.000000,0.000000,0.48827018,0.48657918,3.463253e-03
0.064667,0.000000,0.000000,0.48442404,0.48251304,3.944891e-03
0.068879,0.000000,0.000000,0.48062314,0.47848204,4.454847e-03
0.073091,0.000000,0.000000,0.47686678,0.47448607,4.992413e-03
0.077303,0.000000,0.000000,0.47315427,0.47052500,5.556892e-03
0.081515,0.000000,0.000000,0.46948492,0.46659873,6.147564e-03
0.085727,0.000000,0.000000,0.46585807,0.46270716,6.763656e-03
0.089939,0.000000,0.000000,0.46227306,0.45885023,7.404344e-03
0.094152,0.000000,0.000000,0.45872926,0.45502785,8.068818e-03
0.098364,0.000000,0.000000,0.45522603,0.45123998,8.756193e-03
0.102576,0.000000,0.000000,0.45176276,0.44748657,9.465552e-03
0.106788,0.000000,0.000000,0.44833884,0.44376759,1.019596e-02
0.111000,0.000000,0.000000,0.44495368,0.44008303,1.094643e-02
0.115212,0.000000,0.000000,0.44160670,0.43643287,1.171592e-02
0.119424,0.000000,0.000000,0.43829732,0.43281712,1.250340e-02
0.123636,0.000000,0.000000,0.43502499,0.42923580,1.330772e-02
0.127848,0.000000,0.000000,0.43178915,0.42568894,1.412776e-02
0.132061,0.000000,0.000000,0.42858926,0.42217658,1.496230e-02
0.136273,0.000000,0.000000,0.42542479,0.41869878,1.581011e-02
0.140485,0.000000,0.000000,0.42229523,0.41525560,1.666992e-02
0.144697,0.000000,0.000000,0.41920006,0.41184713,1.754038e-02
0.148909,0.000000,0.000000,0.41613877,0.40847345,1.842011e-02
0.153121,0.000000,0.000000,0.41311088,0.40513466,1.930768e-02
0.157333,0.000000,0.000000,0.41011590,0.40183089,2.020162e-02
0.161545,0.000000,0.000000,0.40715336,0.39856227,2.110038e-02
0.165758,0.000000,0.000000,0.40422279,0.39532892,2.200238e-02
0.169970,0.000000,0.000000,0.40132372,0.39213101,2.290598e-02
0.174182,0.000000,0.000000,0.39845572,0.38896870,2.380948e-02
0.178394,0.000000,0.000000,0.39561835,0.38584216,2.471115e-02
0.182606,0.000000,0.000000,0.39281115,0.38275159,2.560915e-02
0.186818,0.000000,0.000000,0.39003371,0.37969719,2.650162e-02
0.191030,0.000000,0.000000,0.38728562,0.37667916,2.738665e-02
0.195242,0.000000,0.000000,0.38456645,0.37369774,2.826224e-02
0.199455,0.000000,0.000000,0.38187582,0.37075317,2.912635e-02
0.203667,0.000000,0.000000,0.37921329,0.36784569,2.997681e-02
0.207879,0.000000,0.000000,0.37657852,0.36497556,3.081152e-02
0.212091,0.000000,0.000000,0.37397109,0.36214307,3.162816e-02
0.216303,0.000000,0.000000,0.37139064,0.35934850,3.242447e-02
0.220515,0.000000,0.000000,0.36883679,0.35659214,3.319802e-02
0.224727,0.000000,0.000000,0.36630918,0.35387431,3.394638e-02
0.228939,0.000000,0.000000,0.36380746,0.35119534,3.466702e-02
0.233152,0.000000,0.000000,0.36133126,0.34855555,3.535734e-02
0.237364,0.000000,0.000000,0.35888024,0.34595530,3.601464e-02
0.241576,0.000000,0.000000,0.35645407,0.34339495,3.663621e-02
0.245788,0.000000,0.000000,0.35405242,0.34087486,3.721922e-02
0.250000,0.000000,0.000000,0.35167493,0.33839543,3.776073e-02
-0.167000,0.060606,0.060590,0.79017628,0.76676067,2.963341e-02
-0.162788,0.060606,0.060590,0.78227389,0.76026644,2.813266e-02
-0.158576,0.060606,0.060590,0.77448939,0.75383246,2.667167e-02
-0.154364,0.060606,0.060590,0.76682045,0.74745795,2.525037e-02
-0.150152,0.060606,0.060590,0.75926481,0.74114212,2.386873e-02
-0.145939,0.060606,0.060590,0.75182023,0.73488421,2.252669e-02
-0.141727,0.060606,0.060590,0.74448456,0.72868347,2.122420e-02
-0.137515,0.060606,0.060590,0.73725568,0.72253916,1.996121e-02
-0.133303,0.060606,0.060590,0.73013152,0.71645055,1.873768e-02
-0.129091,0.060606,0.060590,0.72311008,0.71041693,1.755356e-02
-0.124879,0.060606,0.060590,0.71618939,0.70443759,1.640879e-02
-0.120667,0.060606,0.060590,0.70936753,0.69851184,1.530334e-02
-0.116455,0.060606,0.060590,0.70264263,0.69263900,1.423715e-02
-0.112242,0.060606,0.060590,0.69601286,0.68681841,1.321017e-02
-0.108030,0.060606,0.060590,0.68947643,0.68104941,1.222235e-02
-0.103818,0.060606,0.060590,0.68303161,0.67533136,1.127363e-02
-0.099606,0.060606,0.060590,0.67667668,0.66966363,1.036396e-02
-0.095394,0.060606,0.060590,0.67040999,0.66404561,9.493267e-03
-0.091182,0.060606,0.060590,0.66422991,0.65847668,8.661498e-03
-0.086970,0.060606,0.060590,0.65813484,0.65295626,7.868580e-03
-0.082758,0.060606,0.060590,0.65212325,0.64748375,7.114444e-03
-0.078545,0.060606,0.060590,0.64619360,0.64205861,6.399008e-03
-0.074333,0.060606,0.060590,0.64034443,0.63668026,5.722191e-03
-0.070121,0.060606,0.060590,0.63457428,0.63134816,5.083905e-03
-0.065909,0.060606,0.060590,0.62888172,0.62606179,4.484051e-03
-0.061697,0.060606,0.060590,0.62326539,0.62082061,3.922531e-03
-0.057485,0.060606,0.060590,0.61772392,0.61562413,3.399232e-03
-0.053273,0.060606,0.060590,0.61225599,0.61047185,2.914038e-03
-0.049061,0.060606,0.060590,0.60686031,0.60536329,2.466823e-03
-0.044848,0.060606,0.060590,0.60153560,0.60029797,2.057450e-03
-0.040636,0.060606,0.060590,0.59628063,0.59527543,1.685776e-03
-0.036424,0.060606,0.060590,0.59109418,0.59029524,1.351640e-03
-0.032212,0.060606,0.060590,0.58597508,0.58535695,1.054880e-03
-0.028000,0.060606,0.060590,0.58092216,0.58046014,7.953191e-04
-0.023788,0.060606,0.060590,0.57593428,0.57560441,5.727610e-04
-0.019576,0.060606,0.060590,0.57101033,0.57078935,3.870082e-04
-0.015364,0.060606,0.060590,0.56614923,0.56601458,2.378397e-04
-0.011152,0.060606,0.060590,0.56134991,0.56127973,1.250244e-04
-0.006939,0.060606,0.060590,0.55661133,0.55658443,4.832094e-05
