theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
-0.167000,0.000000,0.000000,0.77432809,0.75115628,2.992507e-02
-0.150320,0.000000,0.000000,0.74424098,0.72626922,2.414776e-02
-0.133640,0.000000,0.000000,0.71587380,0.70227133,1.900122e-02
-0.116960,0.000000,0.000000,0.68909795,0.67911827,1.448224e-02
-0.100280,0.000000,0.000000,0.66379662,0.65676874,1.058739e-02
-0.083600,0.000000,0.000000,0.63986350,0.63518439,7.312668e-03
-0.066920,0.000000,0.000000,0.61720172,0.61432988,4.653010e-03
-0.050240,0.000000,0.000000,0.59572281,0.59417282,2.601863e-03
-0.033560,0.000000,0.000000,0.57534586,0.57468385,1.150634e-03
-0.016880,0.000000,0.000000,0.55599679,0.55583657,2.881610e-04
-0.000200,0.000000,0.000000,0.53760760,0.53760758,3.656876e-08
0.016480,0.000000,0.000000,0.52011585,0.51997645,2.680179e-04
0.033160,0.000000,0.000000,0.50346408,0.50292575,1.069256e-03
0.049840,0.000000,0.000000,0.48759937,0.48644103,2.375593e-03
0.066520,0.000000,0.000000,0.47247288,0.47051083,4.152724e-03
0.083200,0.000000,0.000000,0.45803953,0.45512668,6.359381e-03
0.099880,0.000000,0.000000,0.44425759,0.44028308,8.946409e-03
0.116560,0.000000,0.000000,0.43108846,0.42597754,1.185586e-02
0.133240,0.000000,0.000000,0.41849634,0.41221053,1.501999e-02
0.149920,0.000000,0.000000,0.40644801,0.39898553,1.836023e-02
0.166600,0.000000,0.000000,0.39491260,0.38630899,2.178611e-02
0.183280,0.000000,0.000000,0.38386141,0.37419036,2.519411e-02
0.199960,0.000000,0.000000,0.37326771,0.36264207,2.846654e-02
0.216640,0.000000,0.000000,0.36310659,0.35167952,3.147028e-02
0.233320,0.000000,0.000000,0.35335482,0.34132113,3.405554e-02
0.250000,0.000000,0.000000,0.34399071,0.33158828,3.605455e-02
-0.167000,0.240000,0.239935,0.77464785,0.75144548,2.995215e-02
-0.150320,0.240000,0.239935,0.74454832,0.72655067,2.417258e-02
-0.133640,0.240000,0.239935,0.71616945,0.70254525,1.902371e-02
-0.116960,0.240000,0.239935,0.68938256,0.67938491,1.450233e-02
-0.100280,0.240000,0.239935,0.66407079,0.65702832,1.060500e-02
-0.083600,0.240000,0.239935,0.64012781,0.63543714,7.327695e-03
-0.066920,0.240000,0.239935,0.61745667,0.61457603,4.665338e-03
-0.050240,0.240000,0.239935,0.59596890,0.59441261,2.611359e-03
-0.033560,0.240000,0.239935,0.57558355,0.57491751,1.157157e-03
-0.016880,0.240000,0.239935,0.55622648,0.55606433,2.915320e-04
-0.000200,0.240000,0.239935,0.53782971,0.53782966,8.044276e-08
0.016480,0.240000,0.239935,0.52033074,0.52019310,2.645256e-04
0.033160,0.240000,0.239935,0.50367210,0.50313719,1.062014e-03
0.049840,0.240000,0.239935,0.48780083,0.48664750,2.364362e-03
0.066520,0.240000,0.239935,0.47266810,0.47071255,4.137251e-03
0.083200,0.240000,0.239935,0.45822879,0.45532389,6.339401e-03
0.099880,0.240000,0.239935,0.44444116,0.44047601,8.921651e-03
0.116560,0.240000,0.239935,0.43126660,0.42616642,1.182604e-02
0.133240,0.240000,0.239935,0.41866928,0.41239560,1.498481e-02
0.149920,0.240000,0.239935,0.40661597,0.39916701,1.831939e-02
0.166600,0.240000,0.239935,0.39507580,0.38648712,2.173931e-02
0.183280,0.240000,0.239935,0.38402004,0.37436537,2.514105e-02
0.199960,0.240000,0.239935,0.37342196,0.36281419,2.840694e-02
0.216640,0.240000,0.239935,0.36325665,0.35184898,3.140387e-02
0.233320,0.240000,0.239935,0.35350085,0.34148816,3.398206e-02
0.250000,0.240000,0.239935,0.34413287,0.33175312,3.597376e-02
-0.167000,0.480000,0.479870,0.77560624,0.75231244,3.003302e-02
-0.150320,0.480000,0.479870,0.74546954,0.72739437,2.424668e-02
-0.133640,0.480000,0.479870,0.71705560,0.70336639,1.909087e-02
-0.116960,0.480000,0.479870,0.69023562,0.68018418,1.456233e-02
-0.100280,0.480000,0.479870,0.66489257,0.65780641,1.065759e-02
-0.083600,0.480000,0.479870,0.64091999,0.63619476,7.372577e-03
-0.066920,0.480000,0.479870,0.61822083,0.61531386,4.702166e-03
-0.050240,0.480000,0.479870,0.59670650,0.59513135,2.639735e-03
-0.033560,0.480000,0.479870,0.57629594,0.57561785,1.176634e-03
-0.016880,0.480000,0.479870,0.55691495,0.55674698,3.016113e-04
-0.000200,0.480000,0.479870,0.53849542,0.53849531,2.077751e-07
0.016480,0.480000,0.479870,0.52097481,0.52084244,2.540949e-04
0.033160,0.480000,0.479870,0.50429557,0.50377092,1.040367e-03
0.049840,0.480000,0.479870,0.48840468,0.48726631,2.330790e-03
0.066520,0.480000,0.479870,0.47325323,0.47131715,4.091007e-03
0.083200,0.480000,0.479870,0.45879605,0.45591496,6.279687e-03
0.099880,0.480000,0.479870,0.44499137,0.44105425,8.847636e-03
0.116560,0.480000,0.479870,0.43180051,0.42673252,1.173686e-02
0.133240,0.480000,0.479870,0.41918760,0.41295026,1.487960e-02
0.149920,0.480000,0.479870,0.40711938,0.39971093,1.819724e-02
0.166600,0.480000,0.479870,0.39556493,0.38702100,2.159933e-02
0.183280,0.480000,0.479870,0.38449550,0.37488989,2.498236e-02
0.199960,0.480000,0.479870,0.37388430,0.36333005,2.822866e-02
