exp_1,exp_2,exp_3,exp_4,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im,R4_re,R4_im
1,0,0,0,-0.0005369754008568333,0.5373926703531786,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0.0,0.0,-0.0005369754008568333,-0.5373926703531786,0.0,0.0,0.0,0.0
1,0,1,0,-1.4014709944318083e-21,-1.0743251266623628,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0.0,-0.0,-1.4014709944318083e-21,1.0743251266623628,0.0,0.0,0.0,0.0
2,1,0,0,4.733440428208576e-13,2.6305578056035404e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0,0.0,-0.0,4.733440428208576e-13,-2.6305578056035404e-5,0.0,0.0,0.0,0.0
1,0,2,0,1.0001085533089127,1.0735807079304054,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,-6.162538275675032e-15,-9.438203885448548e-7,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,2,-1.8729959428026867e-23,0.0038553660637027755,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,0.0,-0.0,1.0001085533089127,-1.0735807079304054,0.0,0.0,0.0,0.0
0,1,1,1,0.0,-0.0,-6.162538275675032e-15,9.438203885448548e-7,0.0,0.0,0.0,0.0
0,1,0,2,0.0,-0.0,-1.8729959428026867e-23,-0.0038553660637027755,0.0,0.0,0.0,0.0
2,1,1,0,-2.4462061041373047e-5,1.3076453006428286e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0,0.0,-0.0,-2.4462061041373047e-5,-1.3076453006428286e-5,0.0,0.0,0.0,0.0
1,0,3,0,-0.4997218637238999,-0.6784676172766887,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,1,-3.160577954269806e-6,-1.842633383342693e-6,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,2,-0.0035852971388964185,-0.005773967645433553,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,3,1.0617750474175552e-19,-1.2155836491902788e-8,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,0.0,-0.0,-0.4997218637238999,0.6784676172766887,0.0,0.0,0.0,0.0
0,1,2,1,0.0,-0.0,-3.160577954269806e-6,1.842633383342693e-6,0.0,0.0,0.0,0.0
0,1,1,2,0.0,-0.0,-0.0035852971388964185,0.005773967645433553,0.0,0.0,0.0,0.0
0,1,0,3,0.0,-0.0,1.0617750474175552e-19,1.2155836491902788e-8,0.0,0.0,0.0,0.0
3,2,0,0,-4.58278127954938e-13,-2.0457844613923885e-9,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,0,0.0,-0.0,-4.58278127954938e-13,2.0457844613923885e-9,0.0,0.0,0.0,0.0
2,1,2,0,-4.88207302265654e-5,-2.9590860944780687e-6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,-1.178534618848325e-13,4.774998621684974e-10,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,3.2312835287171403e-10,-2.3894093014062223e-6,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,0.0,-0.0,-4.88207302265654e-5,2.9590860944780687e-6,0.0,0.0,0.0,0.0
1,2,1,1,0.0,-0.0,-1.178534618848325e-13,-4.774998621684974e-10,0.0,0.0,0.0,0.0
1,2,0,2,0.0,-0.0,3.2312835287171403e-10,2.3894093014062223e-6,0.0,0.0,0.0,0.0
1,0,4,0,0.881701662499621,1.6074627134412298,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,1,4.872932516454206e-6,9.766683851763252e-7,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,2,-9.666164829653189e-6,0.007234715440505965,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3,2.1896827737400664e-8,8.32465512956432e-9,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,4,-1.3394114388303622e-8,-1.5243495275800438e-5,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,0,0.0,-0.0,0.881701662499621,-1.6074627134412298,0.0,0.0,0.0,0.0
0,1,3,1,0.0,-0.0,4.872932516454206e-6,-9.766683851763252e-7,0.0,0.0,0.0,0.0
0,1,2,2,0.0,-0.0,-9.666164829653189e-6,-0.007234715440505965,0.0,0.0,0.0,0.0
0,1,1,3,0.0,-0.0,2.1896827737400664e-8,-8.32465512956432e-9,0.0,0.0,0.0,0.0
0,1,0,4,0.0,-0.0,-1.3394114388303622e-8,1.5243495275800438e-5,0.0,0.0,0.0,0.0
