level,r_magnitude,max_order,convergence_rate,s_bar_re,s_bar_im
1,0.0005279088065637955,9,13.044700103305612,-0.30664639968182694,9.505879910336406e-18
2,0.00042014060762056785,9,13.169434629205572,-0.2461850300201978,3.7060024582693826e-17
3,0.00031348251921582,9,13.436516345715624,-0.17310421956680905,6.3689464078009986e-18
4,0.00020791747651777506,9,14.326514443893892,-0.1560364822007809,3.3110704854227e-17
5,0.00010342876267670567,9,13.126845783430083,-0.10683647547457034,2.54847656203208e-17
6,0.0,9,14.316456577151554,-0.07816774831753995,1.2276561105962903e-17
7,-0.00010238485860563848,9,14.778601839610921,-0.03825391875227063,-9.06178343316165e-18
8,-0.00020374153793410732,9,15.199689162243784,-0.003269243435217175,4.042910724868809e-18
9,-0.0003040854485310482,9,14.897013909126619,0.029236590804737096,-1.3025552383973323e-18
10,-0.0004034316945048591,9,14.707730752129248,0.07012920431895173,9.122936061347086e-18
11,-0.0005017950811058471,9,14.14552585129005,0.09602505579998923,-5.66063074930267e-17
