eta,Re,rho,omega,T
1.900644238775e-05,48.98435217,1.000000000000e-04,16.8580456294,0.3727113715
1.900642664342e-05,48.98435221,2.000000000000e-04,16.8580456324,0.3727113714
1.900639124029e-05,48.98435230,3.500000000000e-04,16.8580456403,0.3727113712
1.900630021633e-05,48.98435252,5.750000000000e-04,16.8580456605,0.3727113708
1.900607836199e-05,48.98435305,9.124999999999e-04,16.8580457091,0.3727113697
1.900555361420e-05,48.98435431,1.418750000000e-03,16.8580458237,0.3727113672
1.900395491473e-05,48.98435814,2.178124999998e-03,16.8580461116,0.3727113608
1.900067296076e-05,48.98436602,3.317187499994e-03,16.8580467489,0.3727113467
1.899319899285e-05,48.98438395,5.025781249978e-03,16.8580482001,0.3727113147
1.897624825444e-05,48.98442462,7.588671874924e-03,16.8580514915,0.3727112419
1.893790786493e-05,48.98451662,1.143300781224e-02,16.8580589360,0.3727110773
1.885134135576e-05,48.98472434,1.719951171787e-02,16.8580757447,0.3727107057
1.865612190300e-05,48.98519277,2.584926757513e-02,16.8581136505,0.3727098676
1.833267902718e-05,48.98596890,3.584926757003e-02,16.8581764535,0.3727084791
1.790444090367e-05,48.98699653,4.584926756100e-02,16.8582596044,0.3727066408
1.737145010441e-05,48.98827560,5.584926754694e-02,16.8583630949,0.3727043528
1.673375959785e-05,48.98980601,6.584926752674e-02,16.8584869146,0.3727016155
1.599143270043e-05,48.99158766,7.584926749932e-02,16.8586310510,0.3726984290
1.514454304071e-05,48.99362043,8.584926746360e-02,16.8587954896,0.3726947937
1.419317451643e-05,48.99590417,9.584926741848e-02,16.8589802140,0.3726907101
1.313742124617e-05,48.99843875,1.058492673629e-01,16.8591852055,0.3726861785
1.197738751541e-05,49.00122397,1.158492672957e-01,16.8594104438,0.3726811995
1.071318771531e-05,49.00425965,1.258492672160e-01,16.8596559063,0.3726757736
9.344946278027e-06,49.00754559,1.358492671225e-01,16.8599215686,0.3726699013
7.872797604358e-06,49.01108156,1.458492670143e-01,16.8602074042,0.3726635833
6.296885986340e-06,49.01486733,1.558492668902e-01,16.8605133848,0.3726568203
4.617365524585e-06,49.01890264,1.658492667493e-01,16.8608394801,0.3726496130
2.834400038940e-06,49.02318722,1.758492665905e-01,16.8611856580,0.3726419621
9.481629746057e-07,49.02772078,1.858492664127e-01,16.8615518844,0.3726338685
-1.041162694433e-06,49.03250302,1.958492662150e-01,16.8619381233,0.3726253329
-3.133384577486e-06,49.03753363,2.058492659963e-01,16.8623443371,0.3726163564
-5.328300969610e-06,49.04281227,2.158492657555e-01,16.8627704861,0.3726069398
-7.625700970755e-06,49.04833859,2.258492654917e-01,16.8632165290,0.3725970841
-1.002536460701e-05,49.05411224,2.358492652040e-01,16.8636824226,0.3725867903
-1.252706295490e-05,49.06013283,2.458492648912e-01,16.8641681222,0.3725760596
-1.513055827127e-05,49.06639997,2.558492645524e-01,16.8646735810,0.3725648929
-1.783560413075e-05,49.07291327,2.658492641867e-01,16.8651987510,0.3725532915
-2.064194556434e-05,49.07967229,2.758492637930e-01,16.8657435820,0.3725412566
-2.354931920546e-05,49.08667661,2.858492633705e-01,16.8663080227,0.3725287893
-2.655745343833e-05,49.09392579,2.958492629182e-01,16.8668920199,0.3725158909
-2.966606855355e-05,49.10141936,3.058492624351e-01,16.8674955189,0.3725025627
-3.287487690490e-05,49.10915685,3.158492619204e-01,16.8681184634,0.3724888061
-3.618358307291e-05,49.11713778,3.258492613732e-01,16.8687607958,0.3724746224
-3.959188403177e-05,49.12536166,3.358492607925e-01,16.8694224569,0.3724600130
-4.309946931976e-05,49.13382798,3.458492601774e-01,16.8701033862,0.3724449793
-4.670602121479e-05,49.14253622,3.558492595272e-01,16.8708035216,0.3724295229
-5.041121491275e-05,49.15148585,3.658492588409e-01,16.8715227998,0.3724136453
-5.421471870975e-05,49.16067634,3.758492581177e-01,16.8722611561,0.3723973479
-5.811619418909e-05,49.17010712,3.858492573567e-01,16.8730185248,0.3723806323
-6.211529640973e-05,49.17977765,3.958492565572e-01,16.8737948386,0.3723635002
-6.621167410057e-05,49.18968735,4.058492557183e-01,16.8745900292,0.3723459531
-7.040496985562e-05,49.19983565,4.158492548392e-01,16.8754040271,0.3723279927
-7.469482033413e-05,49.21022196,4.258492539192e-01,16.8762367617,0.3723096207
-7.908085646322e-05,49.22084568,4.358492529575e-01,16.8770881613,0.3722908387
-8.356270364260e-05,49.23170621,4.458492519532e-01,16.8779581532,0.3722716486
-8.813998195355e-05,49.24280294,4.558492509058e-01,16.8788466637,0.3722520521
-9.281230636965e-05,49.25413525,4.658492498144e-01,16.8797536182,0.3722320509
-9.757928697033e-05,49.26570251,4.758492486783e-01,16.8806789411,0.3722116468
-1.024405291567e-04,49.27750411,4.858492474968e-01,16.8816225560,0.3721908416
-1.073956338702e-04,49.28953939,4.958492462692e-01,16.8825843857,0.3721696373
-1.124441978132e-04,49.30180772,5.058492449950e-01,16.8835643522,0.3721480356
-1.175858136715e-04,49.31430845,5.158492436732e-01,16.8845623768,0.3721260384
-1.228200703394e-04,49.32704093,5.258492423035e-01,16.8855783800,0.3721036476
-1.281465531457e-04,49.34000451,5.358492408850e-01,16.8866122819,0.3720808651
-1.335648440828e-04,49.35319852,5.458492394172e-01,16.8876640018,0.3720576929
-1.390745220373e-04,49.36662230,5.558492378995e-01,16.8887334585,0.3720341328
-1.446751630192e-04,49.38027519,5.658492363312e-01,16.8898205704,0.3720101869
-1.503663403986e-04,49.39415653,5.758492347119e-01,16.8909252553,0.3719858570
-1.561476251369e-04,49.40826563,5.858492330408e-01,16.8920474306,0.3719611452
-1.620185860247e-04,49.42260184,5.958492313175e-01,16.8931870135,0.3719360534
-1.679787899179e-04,49.43716449,6.058492295414e-01,16.8943439207,0.3719105836
-1.740278019751e-04,49.45195290,6.158492277120e-01,16.8955180687,0.3718847378
-1.801651858975e-04,49.46696640,6.258492258287e-01,16.8967093738,0.3718585180
-1.863905041676e-04,49.48220433,6.358492238911e-01,16.8979177520,0.3718319262
-1.927033182905e-04,49.49766601,6.458492218986e-01,16.8991431194,0.3718049645
-1.991031890341e-04,49.51335078,6.558492198508e-01,16.9003853917,0.3717776347
-2.055896766717e-04,49.52925798,6.658492177471e-01,16.9016444848,0.3717499391
-2.121623412233e-04,49.54538695,6.758492155872e-01,16.9029203145,0.3717218794
-2.188207426991e-04,49.56173702,6.858492133706e-01,16.9042127966,0.3716934579
-2.255644413408e-04,49.57830755,6.958492110968e-01,16.9055218471,0.3716646764
-2.323929978662e-04,49.59509789,7.058492087654e-01,16.9068473821,0.3716355371
-2.393059737115e-04,49.61210738,7.158492063761e-01,16.9081893178,0.3716060418
-2.463029312746e-04,49.62933540,7.258492039283e-01,16.9095475707,0.3715761927
-2.533834341584e-04,49.64678132,7.358492014217e-01,16.9109220575,0.3715459917
-2.605470474139e-04,49.66444449,7.458491988559e-01,16.9123126954,0.3715154409
-2.677933377832e-04,49.68232432,7.558491962306e-01,16.9137194016,0.3714845421
-2.751218739418e-04,49.70042017,7.658491935453e-01,16.9151420941,0.3714532974
-2.825322267412e-04,49.71873147,7.758491907997e-01,16.9165806909,0.3714217088
-2.900239694514e-04,49.73725760,7.858491879935e-01,16.9180351110,0.3713897782
-2.975966780008e-04,49.75599798,7.958491851262e-01,16.9195052735,0.3713575075
-3.052499312192e-04,49.77495205,8.058491821977e-01,16.9209910981,0.3713248988
-3.129833110772e-04,49.79411923,8.158491792075e-01,16.9224925054,0.3712919539
-3.207964029260e-04,49.81349897,8.258491761554e-01,16.9240094164,0.3712586747
