exp_1,exp_2,exp_3,L_re,L_im
0,0,0,0.00039001031663345436,0.0
1,0,0,7.46632328745707e-5,-0.0028116118597740283
0,1,0,7.46632328745707e-5,0.0028116118597740283
0,0,1,-0.08738267459643823,7.946570500509667e-20
2,0,0,6.970264170583936e-7,-2.964643643735807e-7
1,1,0,9.231359344144095e-6,-1.2812613721176374e-22
1,0,1,-0.0664379436650295,-0.02953815852701151
0,2,0,6.970264170583936e-7,2.964643643735807e-7
0,1,1,-0.0664379436650295,0.02953815852701151
0,0,2,3.182437118217276,1.5246286786616626e-17
3,0,0,-6.300829179678402e-8,1.4536028751603134e-6
2,1,0,-0.00011186734326959477,-5.34084780893052e-5
2,0,1,-0.00014837216820662451,-0.0005346990141735222
1,2,0,-0.00011186734326959477,5.34084780893052e-5
1,1,1,0.0028739936155363632,-6.22895213494368e-22
1,0,2,9.206100437066592,3.8497541453120667
0,3,0,-6.300829179678402e-8,-1.4536028751603134e-6
0,2,1,-0.00014837216820662451,0.0005346990141735222
0,1,2,9.206100437066592,-3.8497541453120667
0,0,3,-108.86748321652271,-5.010820925963807e-16
4,0,0,-1.9753436816812597e-9,2.935996532533215e-9
3,1,0,-3.2910221786327276e-8,-2.2906213710930223e-8
3,0,1,0.00025403146950511745,0.00013615931673703342
2,2,0,2.183528408072031e-6,-2.7881915159360482e-24
2,1,1,-0.01913647008818088,0.0020309694759141975
2,0,2,-0.06829973938732399,-0.01938811546818906
1,3,0,-3.2910221786327276e-8,2.2906213710930223e-8
1,2,1,-0.01913647008818088,-0.0020309694759141975
1,1,2,5.875359393963109,-5.623059782719725e-17
1,0,3,-421.59774278776945,-219.26719184450707
0,4,0,-1.9753436816812597e-9,-2.935996532533215e-9
0,3,1,0.00025403146950511745,-0.00013615931673703342
0,2,2,-0.06829973938732399,0.01938811546818906
0,1,3,-421.59774278776945,219.26719184450707
0,0,4,2316.907848714138,-2.3801900282445587e-13
5,0,0,-5.109502992364277e-9,-1.140835871629516e-9
4,1,0,3.5702384771936257e-7,9.416467752272779e-8
4,0,1,1.296384994890057e-6,2.40807938695776e-6
3,2,0,-1.288415116755763e-6,1.0428589428515417e-5
3,1,1,-5.0741454729185005e-5,5.824181002137398e-5
3,0,2,-0.005709018752714896,-0.013058970186732709
2,3,0,-1.288415116755763e-6,-1.0428589428515417e-5
2,2,1,0.009800028623143928,5.55325867711056e-20
2,1,2,-5.092368145809287,9.363599827630779
2,0,3,-40.125219249763674,28.59474926916093
1,4,0,3.5702384771936257e-7,-9.416467752272779e-8
1,3,1,-5.0741454729185005e-5,-5.824181002137398e-5
1,2,2,-5.092368145809287,-9.363599827630779
1,1,3,6745.918468426113,-4.483597872084041e-14
1,0,4,37101.746115532995,37486.42935355508
0,5,0,-5.109502992364277e-9,1.140835871629516e-9
0,4,1,1.296384994890057e-6,-2.40807938695776e-6
0,3,2,-0.005709018752714896,0.013058970186732709
0,2,3,-40.125219249763674,-28.59474926916093
0,1,4,37101.746115532995,-37486.42935355508
0,0,5,81742.85958028026,-5.68346627367684e-11
6,0,0,6.19727913530881e-12,-2.5085717357006335e-11
5,1,0,5.559537669465827e-10,8.728831841722594e-10
5,0,1,-1.1724295604703138e-6,1.271451222597452e-6
4,2,0,-7.95063785097068e-9,2.6911587747444167e-8
4,1,1,0.00010472466535348233,-3.471534561852041e-5
4,0,2,0.0006276594881444325,9.08064552954382e-5
3,3,0,3.188843870949861e-6,-1.21239329388235e-23
3,2,1,-0.006955707524173385,0.01953052823062808
3,1,2,-0.1432235019966021,0.11437031467042785
3,0,3,-3.220984712551849,6.836217994416022
2,4,0,-7.95063785097068e-9,-2.6911587747444167e-8
2,3,1,-0.006955707524173385,-0.01953052823062808
2,2,2,27.454687139339285,9.249103517073691e-16
2,1,3,-3734.9161970509804,11463.34685447636
2,0,4,-39284.779107648734,36054.28440843735
1,5,0,5.559537669465827e-10,-8.728831841722594e-10
1,4,1,0.00010472466535348233,3.471534561852041e-5
1,3,2,-0.1432235019966021,-0.11437031467042785
1,2,3,-3734.9161970509804,-11463.34685447636
1,1,4,7.11599799376519e6,6.7982713965263e-11
1,0,5,2.857172528165269e7,1.5761551175890893e7
0,6,0,6.19727913530881e-12,2.5085717357006335e-11
0,5,1,-1.1724295604703138e-6,-1.271451222597452e-6
0,4,2,0.0006276594881444325,-9.08064552954382e-5
0,3,3,-3.220984712551849,-6.836217994416022
0,2,4,-39284.779107648734,-36054.28440843735
0,1,5,2.857172528165269e7,-1.5761551175890893e7
0,0,6,1.6344969792144442e8,-8.043130435217146e-8
7,0,0,2.2026557415422208e-11,-8.440247540355476e-12
6,1,0,-1.1196284778236697e-9,1.6306295989508342e-9
6,0,1,-1.6608990866546783e-8,-1.067427261348549e-8
5,2,0,1.6424876822142973e-8,-4.7949046842699106e-8
5,1,1,9.75546140669867e-7,2.6642146696377044e-7
5,0,2,0.00017708811949777132,0.00023986087787214498
4,3,0,-3.6571003203938013e-6,3.7396864413079653e-6
4,2,1,-9.298252857661707e-5,3.9553395158042795e-5
4,1,2,0.02905860037360114,0.01698653039621089
4,0,3,0.10861254976892076,0.07834706485138143
3,4,0,-3.6571003203938013e-6,-3.7396864413079653e-6
3,3,1,0.02440462230504925,1.8897822990476955e-19
3,2,2,-22.673716210619062,45.1470996680229
