x1,x2,eta,T,Re,flag
-7.914453554009438e-13,-8.102957397160904e-01,-5.059398266146539e-04,3.674656019557022e-01,50.549989,
-8.199238407298090e-13,-8.121720031693945e-01,-5.448741777973281e-04,3.681984781136791e-01,50.649674,max
-8.283526230588307e-13,-5.997661025738598e-01,-1.363284724457482e-03,3.915170851692762e-01,52.840010,
-6.327557451080082e-13,-3.806383304946438e-01,-2.156664547520727e-03,4.187990570674456e-01,55.152108,
-5.228241144410172e-13,-2.956727385218494e-01,-2.532241433668778e-03,4.333244008894085e-01,56.318685,
-3.440983159792646e-13,-1.794127870875966e-01,-3.228842904199919e-03,4.629378042867229e-01,58.618382,
-2.817757756653977e-13,-1.436487193295602e-01,-3.551322048550876e-03,4.781210700585175e-01,59.747808,min
7.329062613792056e-18,1.960953247720306e-04,-3.571003743419760e-05,3.686655532985942e-01,49.376309,
8.896934091185201e-13,7.333110686200838e-01,-9.391799257077684e-04,3.784320915333776e-01,51.681836,
7.394851538909112e-13,4.828770117274105e-01,-1.762635596394638e-03,4.047077326431227e-01,53.979060,
4.290274968529047e-13,2.324523758084075e-01,-2.868226108215099e-03,4.471498939903567e-01,57.404913,
