Re,max_abs_FL,T_fom,n_orbits,converged
50.0000000000,3.563738329746602e-04,1.999942011071636e-03,16,true
50.2040816327,3.566025611692050e-04,1.999942011071636e-03,16,true
50.4081632653,3.582658360582831e-04,1.999942011071636e-03,16,true
50.6122448980,3.600295906837314e-04,1.999942011071636e-03,16,true
50.8163265306,4.276891339026806e-04,1.999942011071636e-03,112,true
51.0204081633,4.268516438992807e-04,1.999942011071636e-03,16,true
51.2244897959,4.245431676072633e-04,1.999942011071636e-03,16,true
51.4285714286,4.206455391430057e-04,1.999942011071636e-03,16,true
51.6326530612,4.175151635796751e-04,1.999942011071636e-03,16,true
51.8367346939,4.962238684915244e-04,1.999942011071636e-03,116,true
52.0408163265,4.932353454176263e-04,1.999942011071636e-03,17,true
52.2448979592,4.883712813274837e-04,1.999942011071636e-03,16,true
52.4489795918,4.817609857585476e-04,1.999942011071636e-03,16,true
52.6530612245,4.756724647143688e-04,1.999942011071636e-03,16,true
52.8571428571,4.738352676250211e-04,1.999942011071636e-03,18,true
53.0612244898,5.826212267110658e-04,1.999942011071636e-03,121,true
53.2653061224,5.744402304119924e-04,1.999942011071636e-03,16,true
53.4693877551,5.645353032278439e-04,1.999942011071636e-03,16,true
53.6734693878,5.512808465743822e-04,1.999942011071636e-03,16,true
53.8775510204,5.379367301447105e-04,1.999942011071636e-03,16,true
54.0816326531,5.291823022481848e-04,1.999942011071636e-03,16,true
54.2857142857,6.724136288661814e-04,1.999942011071636e-03,125,true
54.4897959184,6.583011357558859e-04,1.999942011071636e-03,16,true
54.6938775510,6.406340305950871e-04,1.999942011071636e-03,16,true
54.8979591837,6.183324114962021e-04,1.999942011071636e-03,16,true
55.1020408163,5.964504578739704e-04,1.999942011071636e-03,16,true
55.3061224490,5.816415270012551e-04,1.999942011071636e-03,16,true
55.5102040816,7.599027799784471e-04,1.999942011071636e-03,123,true
55.7142857143,7.403176416484772e-04,1.999942011071636e-03,16,true
55.9183673469,7.152497983166715e-04,1.999942011071636e-03,16,true
56.1224489796,6.845497658634368e-04,1.999942011071636e-03,16,true
56.3265306122,6.550574914476965e-04,1.999942011071636e-03,16,true
56.5306122449,6.352606384473919e-04,1.999942011071636e-03,16,true
56.7346938776,8.430163096727550e-04,1.999942011071636e-03,122,true
56.9387755102,8.181918100188597e-04,1.999942011071636e-03,16,true
57.1428571429,7.868056083249606e-04,1.999942011071636e-03,16,true
57.3469387755,7.171199929985967e-04,1.999942011071636e-03,46,true
57.5510204082,8.897442241977545e-04,1.999942011071636e-03,122,true
57.7551020408,8.634331552537809e-04,1.999942011071636e-03,16,true
57.9591836735,8.292960293020571e-04,1.999942011071636e-03,16,true
58.1632653061,7.517004982379537e-04,1.999942011071636e-03,45,true
58.3673469388,9.584406739152075e-04,1.999942011071636e-03,117,true
58.5714285714,9.274351706993159e-04,1.999942011071636e-03,16,true
58.7755102041,8.864349023400137e-04,1.999942011071636e-03,16,true
58.9795918367,7.946086909758779e-04,1.999942011071636e-03,46,true
59.1836734694,1.019808776618755e-03,1.999942011071636e-03,113,true
59.3877551020,9.858137298503367e-04,1.999942011071636e-03,16,true
59.5918367347,9.406639204839462e-04,1.999942011071636e-03,16,true
59.7959183673,8.422770811683704e-04,1.999942011071636e-03,45,true
60.0000000000,1.078859104483634e-03,1.999942011071636e-03,113,true
