Kármán Vortex Street — Reduced Dynamics (real form)
Re₀ = 49.2894,  DPIM order = 9,  NVAR = 3

Hopf eigenvalues:
  λ[1] = -0.0116924337 +17.0223885586 i
  λ[2] = -0.0116924337 -17.0223885586 i

Nonzero reduced-dynamics monomials:
  [1, 0, 0]            : [-0.011692434, -0.011692434, 0.0]
  [0, 1, 0]            : [-17.022389, -17.022389, 0.0]
  [1, 0, 1]            : [-326.93992, -326.93992, 0.0]
  [0, 1, 1]            : [577.81287, 577.81287, 0.0]
  [3, 0, 0]            : [-0.16636707, -0.16636707, 0.0]
  [2, 1, 0]            : [-0.044633782, -0.044633782, 0.0]
  [1, 2, 0]            : [-0.16636707, -0.16636707, 0.0]
  [1, 0, 2]            : [13529.955, 13529.955, 0.0]
  [0, 3, 0]            : [-0.044633782, -0.044633782, 0.0]
  [0, 1, 2]            : [-21422.78, -21422.78, 0.0]
  [3, 0, 1]            : [-38.140452, -38.140452, 0.0]
  [2, 1, 1]            : [103.36991, 103.36991, 0.0]
  [1, 2, 1]            : [-38.140452, -38.140452, 0.0]
  [1, 0, 3]            : [-501165.64, -501165.64, 0.0]
  [0, 3, 1]            : [103.36991, 103.36991, 0.0]
  [0, 1, 3]            : [643286.08, 643286.08, 0.0]
  [5, 0, 0]            : [-0.0022872092, -0.0022872092, 0.0]
  [4, 1, 0]            : [0.077284271, 0.077284271, 0.0]
  [3, 2, 0]            : [-0.0045744183, -0.0045744183, 0.0]
  [3, 0, 2]            : [-35099.883, -35099.883, 0.0]
  [2, 3, 0]            : [0.15456854, 0.15456854, 0.0]
  [2, 1, 2]            : [157573.02, 157573.02, 0.0]
  [1, 4, 0]            : [-0.0022872092, -0.0022872092, 0.0]
  [1, 2, 2]            : [-35099.883, -35099.883, 0.0]
  [1, 0, 4]            : [8.706694e6, 8.706694e6, 0.0]
  [0, 5, 0]            : [0.077284271, 0.077284271, 0.0]
  [0, 3, 2]            : [157573.02, 157573.02, 0.0]
  [0, 1, 4]            : [-9.1447369e6, -9.1447369e6, 0.0]
  [5, 0, 1]            : [-55.471741, -55.471741, 0.0]
  [4, 1, 1]            : [276.58307, 276.58307, 0.0]
  [3, 2, 1]            : [-110.94348, -110.94348, 0.0]
  [3, 0, 3]            : [-3.6860097e7, -3.6860097e7, 0.0]
  [2, 3, 1]            : [553.16615, 553.16615, 0.0]
  [2, 1, 3]            : [1.7395829e8, 1.7395829e8, 0.0]
  [1, 4, 1]            : [-55.471741, -55.471741, 0.0]
  [1, 2, 3]            : [-3.6860097e7, -3.6860097e7, 0.0]
  [1, 0, 5]            : [2.1304692e8, 2.1304692e8, 0.0]
  [0, 5, 1]            : [276.58307, 276.58307, 0.0]
  [0, 3, 3]            : [1.7395829e8, 1.7395829e8, 0.0]
  [0, 1, 5]            : [-1.9927004e8, -1.9927004e8, 0.0]
  [7, 0, 0]            : [-0.021747408, -0.021747408, 0.0]
  [6, 1, 0]            : [0.081094536, 0.081094536, 0.0]
  [5, 2, 0]            : [-0.065242224, -0.065242224, 0.0]
  [5, 0, 2]            : [-162598.22, -162598.22, 0.0]
  [4, 3, 0]            : [0.24328361, 0.24328361, 0.0]
  [4, 1, 2]            : [725746.08, 725746.08, 0.0]
  [3, 4, 0]            : [-0.065242224, -0.065242224, 0.0]
  [3, 2, 2]            : [-325196.45, -325196.45, 0.0]
  [3, 0, 4]            : [-3.8312861e10, -3.8312861e10, 0.0]
  [2, 5, 0]            : [0.24328361, 0.24328361, 0.0]
  [2, 3, 2]            : [1.4514922e6, 1.4514922e6, 0.0]
  [2, 1, 4]            : [1.7953421e11, 1.7953421e11, 0.0]
  [1, 6, 0]            : [-0.021747408, -0.021747408, 0.0]
  [1, 4, 2]            : [-162598.22, -162598.22, 0.0]
  [1, 2, 4]            : [-3.8312861e10, -3.8312861e10, 0.0]
  [1, 0, 6]            : [-2.7864355e10, -2.7864355e10, 0.0]
  [0, 7, 0]            : [0.081094536, 0.081094536, 0.0]
  [0, 5, 2]            : [725746.08, 725746.08, 0.0]
  [0, 3, 4]            : [1.7953421e11, 1.7953421e11, 0.0]
  [0, 1, 6]            : [1.3396954e10, 1.3396954e10, 0.0]
  [7, 0, 1]            : [-152.95136, -152.95136, 0.0]
  [6, 1, 1]            : [640.00579, 640.00579, 0.0]
  [5, 2, 1]            : [-458.85409, -458.85409, 0.0]
  [5, 0, 3]            : [-3.9080458e8, -3.9080458e8, 0.0]
  [4, 3, 1]            : [1920.0174, 1920.0174, 0.0]
  [4, 1, 3]            : [1.729623e9, 1.729623e9, 0.0]
  [3, 4, 1]            : [-458.85409, -458.85409, 0.0]
  [3, 2, 3]            : [-7.8160915e8, -7.8160915e8, 0.0]
  [3, 0, 5]            : [-3.9132855e13, -3.9132855e13, 0.0]
  [2, 5, 1]            : [1920.0174, 1920.0174, 0.0]
  [2, 3, 3]            : [3.459246e9, 3.459246e9, 0.0]
  [2, 1, 5]            : [1.8256342e14, 1.8256342e14, 0.0]
  [1, 6, 1]            : [-152.95136, -152.95136, 0.0]
  [1, 4, 3]            : [-3.9080458e8, -3.9080458e8, 0.0]
  [1, 2, 5]            : [-3.9132855e13, -3.9132855e13, 0.0]
  [1, 0, 7]            : [2.7739502e12, 2.7739502e12, 0.0]
  [0, 7, 1]            : [640.00579, 640.00579, 0.0]
  [0, 5, 3]            : [1.729623e9, 1.729623e9, 0.0]
  [0, 3, 5]            : [1.8256342e14, 1.8256342e14, 0.0]
  [0, 1, 7]            : [5.1853599e11, 5.1853599e11, 0.0]
  [9, 0, 0]            : [-0.03880139, -0.03880139, 0.0]
  [8, 1, 0]            : [0.16628939, 0.16628939, 0.0]
  [7, 2, 0]            : [-0.15520556, -0.15520556, 0.0]
  [7, 0, 2]            : [-760687.9, -760687.9, 0.0]
  [6, 3, 0]            : [0.66515758, 0.66515758, 0.0]
  [6, 1, 2]            : [3.2790806e6, 3.2790806e6, 0.0]
  [5, 4, 0]            : [-0.23280834, -0.23280834, 0.0]
  [5, 2, 2]            : [-2.2820637e6, -2.2820637e6, 0.0]
  [5, 0, 4]            : [-8.8850632e11, -8.8850632e11, 0.0]
  [4, 5, 0]            : [0.99773637, 0.99773637, 0.0]
  [4, 3, 2]            : [9.8372419e6, 9.8372419e6, 0.0]
  [4, 1, 4]            : [3.945858e12, 3.945858e12, 0.0]
  [3, 6, 0]            : [-0.15520556, -0.15520556, 0.0]
  [3, 4, 2]            : [-2.2820637e6, -2.2820637e6, 0.0]
  [3, 2, 4]            : [-1.7770126e12, -1.7770126e12, 0.0]
  [3, 0, 6]            : [-3.9732921e16, -3.9732921e16, 0.0]
  [2, 7, 0]            : [0.66515758, 0.66515758, 0.0]
  [2, 5, 2]            : [9.8372419e6, 9.8372419e6, 0.0]
  [2, 3, 4]            : [7.8917161e12, 7.8917161e12, 0.0]
  [2, 1, 6]            : [1.8510037e17, 1.8510037e17, 0.0]
  [1, 8, 0]            : [-0.03880139, -0.03880139, 0.0]
  [1, 6, 2]            : [-760687.9, -760687.9, 0.0]
  [1, 4, 4]            : [-8.8850632e11, -8.8850632e11, 0.0]
  [1, 2, 6]            : [-3.9732921e16, -3.9732921e16, 0.0]
  [1, 0, 8]            : [-3.4826652e14, -3.4826652e14, 0.0]
  [0, 9, 0]            : [0.16628939, 0.16628939, 0.0]
  [0, 7, 2]            : [3.2790806e6, 3.2790806e6, 0.0]
  [0, 5, 4]            : [3.945858e12, 3.945858e12, 0.0]
  [0, 3, 6]            : [1.8510037e17, 1.8510037e17, 0.0]
  [0, 1, 8]            : [-2.101175e14, -2.101175e14, 0.0]
