order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,1.9006444061e-05,4.8984352170e+01,1.0000000000e-04,1.6858045629e+01,3.7271137150e-01,3.3176158758e-11,3.8842207916e-04
3.0000000000e+00,1.9006428329e-05,4.8984352210e+01,2.0000000000e-04,1.6858045632e+01,3.7271137140e-01,1.3270463392e-10,3.8896218775e-04
3.0000000000e+00,1.9006392954e-05,4.8984352290e+01,3.5000000000e-04,1.6858045640e+01,3.7271137130e-01,4.0640793207e-10,3.8977235103e-04
3.0000000000e+00,1.9006302003e-05,4.8984352510e+01,5.7500000000e-04,1.6858045660e+01,3.7271137080e-01,1.0968866512e-09,3.9098759704e-04
3.0000000000e+00,1.9006080326e-05,4.8984353040e+01,9.1250000000e-04,1.6858045709e+01,3.7271136970e-01,2.7624329624e-09,3.9281046848e-04
3.0000000000e+00,1.9005555997e-05,4.8984354300e+01,1.4187500000e-03,1.6858045823e+01,3.7271136720e-01,6.6778645817e-09,3.9554478115e-04
3.0000000000e+00,1.9003958572e-05,4.8984358130e+01,2.1781250000e-03,1.6858046110e+01,3.7271136090e-01,1.5739507062e-08,3.9964626881e-04
3.0000000000e+00,1.9000679233e-05,4.8984366000e+01,3.3171875000e-03,1.6858046746e+01,3.7271134680e-01,3.6506047079e-08,4.0579852653e-04
3.0000000000e+00,1.8993211208e-05,4.8984383920e+01,5.0257812500e-03,1.6858048195e+01,3.7271131480e-01,8.3797334873e-08,4.1502698130e-04
3.0000000000e+00,1.8976273889e-05,4.8984424560e+01,7.5886718749e-03,1.6858051480e+01,3.7271124210e-01,1.9105159921e-07,4.2886981631e-04
3.0000000000e+00,1.8937963546e-05,4.8984516490e+01,1.1433007812e-02,1.6858058911e+01,3.7271107790e-01,4.3364193358e-07,4.4963441071e-04
3.0000000000e+00,1.8851463321e-05,4.8984724040e+01,1.7199511718e-02,1.6858075688e+01,3.7271070690e-01,9.8134680278e-07,4.8078206467e-04
3.0000000000e+00,1.8656385418e-05,4.8985192140e+01,2.5849267575e-02,1.6858113526e+01,3.7270987040e-01,2.2163669564e-06,5.2750523772e-04
