Kármán Vortex Street — Reduced Dynamics (real form)
Re₀ = 49.0300,  DPIM order = 5,  NVAR = 3

Hopf eigenvalues:
  λ[1] = -0.0714772200 +16.9389449327 i
  λ[2] = -0.0714772200 -16.9389449327 i

Nonzero reduced-dynamics monomials:
  [1, 0, 0]            : [-0.07147722, -0.07147722, 0.0]
  [0, 1, 0]            : [-16.938945, -16.938945, 0.0]
  [1, 0, 1]            : [-78.522681, -78.522681, 0.0]
  [0, 1, 1]            : [-167.61865, -167.61865, 0.0]
  [3, 0, 0]            : [-225946.78, -225946.78, 0.0]
  [2, 1, 0]            : [-84719.042, -84719.042, 0.0]
  [1, 2, 0]            : [-225946.78, -225946.78, 0.0]
  [1, 0, 2]            : [-9847.166, -9847.166, 0.0]
  [0, 3, 0]            : [-84719.042, -84719.042, 0.0]
  [0, 1, 2]            : [-720.79049, -720.79049, 0.0]
  [3, 0, 1]            : [-1.58246e6, -1.58246e6, 0.0]
  [2, 1, 1]            : [1.2367622e7, 1.2367622e7, 0.0]
  [1, 2, 1]            : [-1.58246e6, -1.58246e6, 0.0]
  [1, 0, 3]            : [758762.61, 758762.61, 0.0]
  [0, 3, 1]            : [1.2367622e7, 1.2367622e7, 0.0]
  [0, 1, 3]            : [3.2164054e6, 3.2164054e6, 0.0]
  [5, 0, 0]            : [1.8012098e10, 1.8012098e10, 0.0]
  [4, 1, 0]            : [9.2390188e10, 9.2390188e10, 0.0]
  [3, 2, 0]            : [3.6024196e10, 3.6024196e10, 0.0]
  [3, 0, 2]            : [-1.7510495e9, -1.7510495e9, 0.0]
  [2, 3, 0]            : [1.8478038e11, 1.8478038e11, 0.0]
  [2, 1, 2]            : [6.7923712e9, 6.7923712e9, 0.0]
  [1, 4, 0]            : [1.8012098e10, 1.8012098e10, 0.0]
  [1, 2, 2]            : [-1.7510495e9, -1.7510495e9, 0.0]
  [1, 0, 4]            : [-2.0547457e8, -2.0547457e8, 0.0]
  [0, 5, 0]            : [9.2390188e10, 9.2390188e10, 0.0]
  [0, 3, 2]            : [6.7923712e9, 6.7923712e9, 0.0]
  [0, 1, 4]            : [-1.2741503e9, -1.2741503e9, 0.0]
