h_ratio,theta,model,z_order,r,omega,amplitude
0.000000,-1.0000,reference,-1,0.00000100,0.54892041,0.00000012
0.000000,-1.0000,reference,-1,0.20040180,0.54892121,0.02337645
0.000000,-1.0000,reference,-1,0.40080260,0.54892359,0.04675290
0.000000,-1.0000,reference,-1,0.60120340,0.54892757,0.07012956
0.000000,-1.0000,reference,-1,0.80160420,0.54893314,0.09350655
0.000000,-1.0000,reference,-1,1.00200500,0.54894030,0.11688397
0.000000,-1.0000,reference,-1,1.20240580,0.54894904,0.14026192
0.000000,-1.0000,reference,-1,1.40280660,0.54895939,0.16364052
0.000000,-1.0000,reference,-1,1.60320740,0.54897132,0.18701987
0.000000,-1.0000,reference,-1,1.80360820,0.54898484,0.21040008
0.000000,-1.0000,reference,-1,2.00400900,0.54899995,0.23378125
0.000000,-1.0000,reference,-1,2.20440980,0.54901666,0.25716349
0.000000,-1.0000,reference,-1,2.40481060,0.54903495,0.28054691
0.000000,-1.0000,reference,-1,2.60521139,0.54905484,0.30393161
0.000000,-1.0000,reference,-1,2.80561219,0.54907632,0.32731770
0.000000,-1.0000,reference,-1,3.00601299,0.54909939,0.35070530
0.000000,-1.0000,reference,-1,3.20641379,0.54912406,0.37409449
0.000000,-1.0000,reference,-1,3.40681459,0.54915031,0.39748540
0.000000,-1.0000,reference,-1,3.60721539,0.54917816,0.42087812
0.000000,-1.0000,reference,-1,3.80761619,0.54920760,0.44427277
0.000000,-1.0000,reference,-1,4.00801699,0.54923864,0.46766945
0.000000,-1.0000,reference,-1,4.20841779,0.54927127,0.49106827
0.000000,-1.0000,reference,-1,4.40881859,0.54930549,0.51446933
0.000000,-1.0000,reference,-1,4.60921939,0.54934130,0.53787274
0.000000,-1.0000,reference,-1,4.80962019,0.54937871,0.56127861
0.000000,-1.0000,reference,-1,5.01002099,0.54941771,0.58468705
0.000000,-1.0000,reference,-1,5.21042179,0.54945831,0.60809815
0.000000,-1.0000,reference,-1,5.41082259,0.54950050,0.63151203
0.000000,-1.0000,reference,-1,5.61122339,0.54954429,0.65492880
0.000000,-1.0000,reference,-1,5.81162419,0.54958968,0.67834855
0.000000,-1.0000,reference,-1,6.01202499,0.54963665,0.70177140
0.000000,-1.0000,reference,-1,6.21242579,0.54968523,0.72519746
0.000000,-1.0000,reference,-1,6.41282659,0.54973540,0.74862682
0.000000,-1.0000,reference,-1,6.61322739,0.54978717,0.77205960
0.000000,-1.0000,reference,-1,6.81362819,0.54984054,0.79549590
0.000000,-1.0000,reference,-1,7.01402899,0.54989550,0.81893583
0.000000,-1.0000,reference,-1,7.21442979,0.54995206,0.84237949
0.000000,-1.0000,reference,-1,7.41483059,0.55001022,0.86582700
0.000000,-1.0000,reference,-1,7.61523138,0.55006998,0.88927845
0.000000,-1.0000,reference,-1,7.81563218,0.55013134,0.91273396
0.000000,-1.0000,reference,-1,8.01603298,0.55019430,0.93619362
0.000000,-1.0000,reference,-1,8.21643378,0.55025886,0.95965756
0.000000,-1.0000,reference,-1,8.41683458,0.55032502,0.98312586
0.000000,-1.0000,reference,-1,8.61723538,0.55039279,1.00659864
0.000000,-1.0000,reference,-1,8.81763618,0.55046215,1.03007601
0.000000,-1.0000,reference,-1,9.01803698,0.55053312,1.05355806
0.000000,-1.0000,reference,-1,9.21843778,0.55060569,1.07704492
0.000000,-1.0000,reference,-1,9.41883858,0.55067986,1.10053667
0.000000,-1.0000,reference,-1,9.61923938,0.55075564,1.12403343
0.000000,-1.0000,reference,-1,9.81964018,0.55083303,1.14753531
0.000000,-1.0000,reference,-1,10.02004098,0.55091201,1.17104241
0.000000,-1.0000,reference,-1,10.22044178,0.55099261,1.19455483
0.000000,-1.0000,reference,-1,10.42084258,0.55107481,1.21807268
0.000000,-1.0000,reference,-1,10.62124338,0.55115862,1.24159608
0.000000,-1.0000,reference,-1,10.82164418,0.55124403,1.26512511
0.000000,-1.0000,reference,-1,11.02204498,0.55133106,1.28865989
0.000000,-1.0000,reference,-1,11.22244578,0.55141969,1.31220053
0.000000,-1.0000,reference,-1,11.42284658,0.55150993,1.33574713
0.000000,-1.0000,reference,-1,11.62324738,0.55160179,1.35929979
0.000000,-1.0000,reference,-1,11.82364818,0.55169525,1.38285862
0.000000,-1.0000,reference,-1,12.02404898,0.55179033,1.40642373
0.000000,-1.0000,reference,-1,12.22444978,0.55188702,1.42999522
0.000000,-1.0000,reference,-1,12.42485058,0.55198532,1.45357320
0.000000,-1.0000,reference,-1,12.62525137,0.55208524,1.47715777
0.000000,-1.0000,reference,-1,12.82565217,0.55218677,1.50074904
0.000000,-1.0000,reference,-1,13.02605297,0.55228992,1.52434711
0.000000,-1.0000,reference,-1,13.22645377,0.55239468,1.54795209
0.000000,-1.0000,reference,-1,13.42685457,0.55250106,1.57156408
0.000000,-1.0000,reference,-1,13.62725537,0.55260906,1.59518319
0.000000,-1.0000,reference,-1,13.82765617,0.55271867,1.61880952
0.000000,-1.0000,reference,-1,14.02805697,0.55282991,1.64244318
0.000000,-1.0000,reference,-1,14.22845777,0.55294277,1.66608428
0.000000,-1.0000,reference,-1,14.42885857,0.55305725,1.68973291
0.000000,-1.0000,reference,-1,14.62925937,0.55317334,1.71338918
0.000000,-1.0000,reference,-1,14.82966017,0.55329107,1.73705320
0.000000,-1.0000,reference,-1,15.03006097,0.55341041,1.76072507
0.000000,-1.0000,reference,-1,15.23046177,0.55353139,1.78440490
0.000000,-1.0000,reference,-1,15.43086257,0.55365398,1.80809279
0.000000,-1.0000,reference,-1,15.63126337,0.55377820,1.83178884
0.000000,-1.0000,reference,-1,15.83166417,0.55390405,1.85549316
0.000000,-1.0000,reference,-1,16.03206497,0.55403153,1.87920586
0.000000,-1.0000,reference,-1,16.23246577,0.55416064,1.90292703
0.000000,-1.0000,reference,-1,16.43286657,0.55429138,1.92665679
0.000000,-1.0000,reference,-1,16.63326737,0.55442375,1.95039523
0.000000,-1.0000,reference,-1,16.83366817,0.55455775,1.97414246
0.000000,-1.0000,reference,-1,17.03406897,0.55469338,1.99789859
0.000000,-1.0000,reference,-1,17.23446977,0.55483065,2.02166371
0.000000,-1.0000,reference,-1,17.43487057,0.55496955,2.04543794
0.000000,-1.0000,reference,-1,17.63527136,0.55511009,2.06922137
0.000000,-1.0000,reference,-1,17.83567216,0.55525227,2.09301411
0.000000,-1.0000,reference,-1,18.03607296,0.55539608,2.11681626
0.000000,-1.0000,reference,-1,18.23647376,0.55554153,2.14062793
0.000000,-1.0000,reference,-1,18.43687456,0.55568863,2.16444922
0.000000,-1.0000,reference,-1,18.63727536,0.55583736,2.18828023
0.000000,-1.0000,reference,-1,18.83767616,0.55598774,2.21212107
0.000000,-1.0000,reference,-1,19.03807696,0.55613975,2.23597184
0.000000,-1.0000,reference,-1,19.23847776,0.55629342,2.25983264
0.000000,-1.0000,reference,-1,19.43887856,0.55644873,2.28370357
0.000000,-1.0000,reference,-1,19.63927936,0.55660568,2.30758474
0.000000,-1.0000,reference,-1,19.83968016,0.55676429,2.33147626
0.000000,-1.0000,reference,-1,20.04008096,0.55692454,2.35537822
0.000000,-1.0000,reference,-1,20.24048176,0.55708644,2.37929072
0.000000,-1.0000,reference,-1,20.44088256,0.55725000,2.40321388
0.000000,-1.0000,reference,-1,20.64128336,0.55741520,2.42714778
0.000000,-1.0000,reference,-1,20.84168416,0.55758206,2.45109254
0.000000,-1.0000,reference,-1,21.04208496,0.55775058,2.47504826
0.000000,-1.0000,reference,-1,21.24248576,0.55792074,2.49901503
0.000000,-1.0000,reference,-1,21.44288656,0.55809257,2.52299297
0.000000,-1.0000,reference,-1,21.64328736,0.55826606,2.54698216
0.000000,-1.0000,reference,-1,21.84368816,0.55844120,2.57098273
0.000000,-1.0000,reference,-1,22.04408896,0.55861800,2.59499475
0.000000,-1.0000,reference,-1,22.24448976,0.55879647,2.61901835
0.000000,-1.0000,reference,-1,22.44489056,0.55897660,2.64305361
0.000000,-1.0000,reference,-1,22.64529135,0.55915839,2.66710065
0.000000,-1.0000,reference,-1,22.84569215,0.55934185,2.69115955
0.000000,-1.0000,reference,-1,23.04609295,0.55952698,2.71523043
0.000000,-1.0000,reference,-1,23.24649375,0.55971377,2.73931339
0.000000,-1.0000,reference,-1,23.44689455,0.55990224,2.76340852
0.000000,-1.0000,reference,-1,23.64729535,0.56009237,2.78751593
0.000000,-1.0000,reference,-1,23.84769615,0.56028418,2.81163571
0.000000,-1.0000,reference,-1,24.04809695,0.56047766,2.83576797
0.000000,-1.0000,reference,-1,24.24849775,0.56067281,2.85991281
0.000000,-1.0000,reference,-1,24.44889855,0.56086964,2.88407033
0.000000,-1.0000,reference,-1,24.64929935,0.56106815,2.90824063
0.000000,-1.0000,reference,-1,24.84970015,0.56126834,2.93242381
0.000000,-1.0000,reference,-1,25.05010095,0.56147020,2.95661996
0.000000,-1.0000,reference,-1,25.25050175,0.56167375,2.98082920
0.000000,-1.0000,reference,-1,25.45090255,0.56187898,3.00505162
0.000000,-1.0000,reference,-1,25.65130335,0.56208589,3.02928731
0.000000,-1.0000,reference,-1,25.85170415,0.56229449,3.05353639
0.000000,-1.0000,reference,-1,26.05210495,0.56250478,3.07779894
0.000000,-1.0000,reference,-1,26.25250575,0.56271675,3.10207507
0.000000,-1.0000,reference,-1,26.45290655,0.56293041,3.12636488
0.000000,-1.0000,reference,-1,26.65330735,0.56314577,3.15066846
0.000000,-1.0000,reference,-1,26.85370815,0.56336282,3.17498592
0.000000,-1.0000,reference,-1,27.05410895,0.56358156,3.19931735
0.000000,-1.0000,reference,-1,27.25450975,0.56380199,3.22366285
0.000000,-1.0000,reference,-1,27.45491055,0.56402412,3.24802253
0.000000,-1.0000,reference,-1,27.65531134,0.56424795,3.27239647
0.000000,-1.0000,reference,-1,27.85571214,0.56447348,3.29678478
0.000000,-1.0000,reference,-1,28.05611294,0.56470072,3.32118756
0.000000,-1.0000,reference,-1,28.25651374,0.56492965,3.34560490
0.000000,-1.0000,reference,-1,28.45691454,0.56516029,3.37003690
0.000000,-1.0000,reference,-1,28.65731534,0.56539263,3.39448366
0.000000,-1.0000,reference,-1,28.85771614,0.56562668,3.41894528
0.000000,-1.0000,reference,-1,29.05811694,0.56586244,3.44342185
0.000000,-1.0000,reference,-1,29.25851774,0.56609991,3.46791348
0.000000,-1.0000,reference,-1,29.45891854,0.56633909,3.49242025
0.000000,-1.0000,reference,-1,29.65931934,0.56657998,3.51694226
0.000000,-1.0000,reference,-1,29.85972014,0.56682259,3.54147962
0.000000,-1.0000,reference,-1,30.06012094,0.56706691,3.56603242
0.000000,-1.0000,reference,-1,30.26052174,0.56731295,3.59060075
0.000000,-1.0000,reference,-1,30.46092254,0.56756071,3.61518472
0.000000,-1.0000,reference,-1,30.66132334,0.56781019,3.63978441
0.000000,-1.0000,reference,-1,30.86172414,0.56806139,3.66439992
0.000000,-1.0000,reference,-1,31.06212494,0.56831432,3.68903136
0.000000,-1.0000,reference,-1,31.26252574,0.56856897,3.71367881
0.000000,-1.0000,reference,-1,31.46292654,0.56882534,3.73834237
0.000000,-1.0000,reference,-1,31.66332734,0.56908345,3.76302213
0.000000,-1.0000,reference,-1,31.86372814,0.56934329,3.78771820
0.000000,-1.0000,reference,-1,32.06412894,0.56960485,3.81243066
0.000000,-1.0000,reference,-1,32.26452974,0.56986815,3.83715962
0.000000,-1.0000,reference,-1,32.46493054,0.57013319,3.86190516
0.000000,-1.0000,reference,-1,32.66533133,0.57039996,3.88666738
0.000000,-1.0000,reference,-1,32.86573213,0.57066847,3.91144637
0.000000,-1.0000,reference,-1,33.06613293,0.57093872,3.93624223
0.000000,-1.0000,reference,-1,33.26653373,0.57121071,3.96105506
0.000000,-1.0000,reference,-1,33.46693453,0.57148444,3.98588494
0.000000,-1.0000,reference,-1,33.66733533,0.57175991,4.01073197
0.000000,-1.0000,reference,-1,33.86773613,0.57203714,4.03559624
0.000000,-1.0000,reference,-1,34.06813693,0.57231611,4.06047785
0.000000,-1.0000,reference,-1,34.26853773,0.57259683,4.08537689
0.000000,-1.0000,reference,-1,34.46893853,0.57287929,4.11029345
0.000000,-1.0000,reference,-1,34.66933933,0.57316352,4.13522762
0.000000,-1.0000,reference,-1,34.86974013,0.57344949,4.16017951
0.000000,-1.0000,reference,-1,35.07014093,0.57373722,4.18514919
0.000000,-1.0000,reference,-1,35.27054173,0.57402671,4.21013676
0.000000,-1.0000,reference,-1,35.47094253,0.57431796,4.23514232
0.000000,-1.0000,reference,-1,35.67134333,0.57461097,4.26016595
0.000000,-1.0000,reference,-1,35.87174413,0.57490574,4.28520775
0.000000,-1.0000,reference,-1,36.07214493,0.57520227,4.31026781
0.000000,-1.0000,reference,-1,36.27254573,0.57550057,4.33534622
0.000000,-1.0000,reference,-1,36.47294653,0.57580064,4.36044307
0.000000,-1.0000,reference,-1,36.67334733,0.57610248,4.38555844
0.000000,-1.0000,reference,-1,36.87374813,0.57640608,4.41069244
0.000000,-1.0000,reference,-1,37.07414893,0.57671146,4.43584516
0.000000,-1.0000,reference,-1,37.27454973,0.57701862,4.46101667
0.000000,-1.0000,reference,-1,37.47495053,0.57732754,4.48620707
0.000000,-1.0000,reference,-1,37.67535132,0.57763825,4.51141646
0.000000,-1.0000,reference,-1,37.87575212,0.57795073,4.53664491
0.000000,-1.0000,reference,-1,38.07615292,0.57826500,4.56189253
0.000000,-1.0000,reference,-1,38.27655372,0.57858105,4.58715940
0.000000,-1.0000,reference,-1,38.47695452,0.57889888,4.61244560
0.000000,-1.0000,reference,-1,38.67735532,0.57921849,4.63775123
0.000000,-1.0000,reference,-1,38.87775612,0.57953990,4.66307638
0.000000,-1.0000,reference,-1,39.07815692,0.57986309,4.68842113
0.000000,-1.0000,reference,-1,39.27855772,0.58018807,4.71378557
0.000000,-1.0000,reference,-1,39.47895852,0.58051485,4.73916979
0.000000,-1.0000,reference,-1,39.67935932,0.58084342,4.76457388
0.000000,-1.0000,reference,-1,39.87976012,0.58117379,4.78999792
0.000000,-1.0000,reference,-1,40.08016092,0.58150595,4.81544201
0.000000,-1.0000,reference,-1,40.28056172,0.58183991,4.84090622
0.000000,-1.0000,reference,-1,40.48096252,0.58217567,4.86639065
0.000000,-1.0000,reference,-1,40.68136332,0.58251324,4.89189538
0.000000,-1.0000,reference,-1,40.88176412,0.58285261,4.91742049
0.000000,-1.0000,reference,-1,41.08216492,0.58319379,4.94296609
0.000000,-1.0000,reference,-1,41.28256572,0.58353677,4.96853224
0.000000,-1.0000,reference,-1,41.48296652,0.58388156,4.99411904
0.000000,-1.0000,reference,-1,41.68336732,0.58422816,5.01972657
0.000000,-1.0000,reference,-1,41.88376812,0.58457658,5.04535491
0.000000,-1.0000,reference,-1,42.08416892,0.58492681,5.07100416
0.000000,-1.0000,reference,-1,42.28456972,0.58527886,5.09667439
0.000000,-1.0000,reference,-1,42.48497052,0.58563272,5.12236570
0.000000,-1.0000,reference,-1,42.68537131,0.58598840,5.14807816
0.000000,-1.0000,reference,-1,42.88577211,0.58634591,5.17381185
0.000000,-1.0000,reference,-1,43.08617291,0.58670524,5.19956688
0.000000,-1.0000,reference,-1,43.28657371,0.58706639,5.22534330
0.000000,-1.0000,reference,-1,43.48697451,0.58742937,5.25114122
0.000000,-1.0000,reference,-1,43.68737531,0.58779417,5.27696072
0.000000,-1.0000,reference,-1,43.88777611,0.58816081,5.30280186
0.000000,-1.0000,reference,-1,44.08817691,0.58852927,5.32866475
0.000000,-1.0000,reference,-1,44.28857771,0.58889957,5.35454946
0.000000,-1.0000,reference,-1,44.48897851,0.58927170,5.38045608
0.000000,-1.0000,reference,-1,44.68937931,0.58964567,5.40638468
0.000000,-1.0000,reference,-1,44.88978011,0.59002148,5.43233535
0.000000,-1.0000,reference,-1,45.09018091,0.59039913,5.45830817
0.000000,-1.0000,reference,-1,45.29058171,0.59077861,5.48430322
0.000000,-1.0000,reference,-1,45.49098251,0.59115994,5.51032058
0.000000,-1.0000,reference,-1,45.69138331,0.59154312,5.53636034
0.000000,-1.0000,reference,-1,45.89178411,0.59192814,5.56242257
0.000000,-1.0000,reference,-1,46.09218491,0.59231501,5.58850736
0.000000,-1.0000,reference,-1,46.29258571,0.59270372,5.61461478
