h_ratio,theta,model,z_order,omega0,delta_omega0_rel,modal_proj,mode_norm
0.000000,-1.0000,reference,-1,0.54892041,NaN,NaN,0.86321322
0.000000,-1.0000,parametric,3,0.54886734,9.6685e-05,0.0000,1.05989348
0.000000,-1.0000,parametric,5,0.54886734,9.6685e-05,0.0000,1.05989348
0.000000,-1.0000,parametric,7,0.54886734,9.6685e-05,0.0000,1.05989348
0.000000,-1.0000,parametric,9,0.54886734,9.6685e-05,0.0000,1.05989348
0.000000,-1.0000,parametric,11,0.54886734,9.6685e-05,0.0000,1.05989348
0.000500,-0.9000,reference,-1,0.54966245,NaN,NaN,0.86204789
0.000500,-0.9000,parametric,3,0.54963965,4.1468e-05,0.0000,1.05914904
0.000500,-0.9000,parametric,5,0.54963965,4.1468e-05,0.0000,1.05914904
0.000500,-0.9000,parametric,7,0.54963965,4.1468e-05,0.0000,1.05914904
0.000500,-0.9000,parametric,9,0.54963965,4.1468e-05,0.0000,1.05914904
0.000500,-0.9000,parametric,11,0.54963965,4.1468e-05,0.0000,1.05914904
0.001000,-0.8000,reference,-1,0.55188253,NaN,NaN,0.85858010
0.001000,-0.8000,parametric,3,0.55187364,1.6095e-05,0.0000,1.05710754
0.001000,-0.8000,parametric,5,0.55187364,1.6095e-05,0.0000,1.05710754
0.001000,-0.8000,parametric,7,0.55187364,1.6095e-05,0.0000,1.05710754
0.001000,-0.8000,parametric,9,0.55187364,1.6095e-05,0.0000,1.05710754
0.001000,-0.8000,parametric,11,0.55187364,1.6095e-05,0.0000,1.05710754
0.001500,-0.7000,reference,-1,0.55556281,NaN,NaN,0.85289250
0.001500,-0.7000,parametric,3,0.55555971,5.5830e-06,0.0000,1.05378066
0.001500,-0.7000,parametric,5,0.55555971,5.5830e-06,0.0000,1.05378066
0.001500,-0.7000,parametric,7,0.55555971,5.5830e-06,0.0000,1.05378066
0.001500,-0.7000,parametric,9,0.55555971,5.5830e-06,0.0000,1.05378066
0.001500,-0.7000,parametric,11,0.55555971,5.5830e-06,0.0000,1.05378066
0.002000,-0.6000,reference,-1,0.56067437,NaN,NaN,0.84511686
0.002000,-0.6000,parametric,3,0.56067338,1.7693e-06,0.0000,1.04920820
0.002000,-0.6000,parametric,5,0.56067338,1.7693e-06,0.0000,1.04920820
0.002000,-0.6000,parametric,7,0.56067338,1.7693e-06,0.0000,1.04920820
0.002000,-0.6000,parametric,9,0.56067338,1.7693e-06,0.0000,1.04920820
