exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,-0.0,1.1552787310600492,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,-0.0,-1.1552787310600492,0.0,0.0
1,0,1,0.0,-0.2542767828455249,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,0.0,0.2542767828455249,0.0,0.0
2,1,0,0.0,-4.865275681568156e-7,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,0.0,4.865275681568156e-7,0.0,0.0
1,0,2,0.0,-0.05461650274199281,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,0.0,0.05461650274199281,0.0,0.0
2,1,1,0.0,1.4828691451929128e-6,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,0.0,-1.4828691451929128e-6,0.0,0.0
1,0,3,0.0,0.04811764420225505,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,0.0,-0.04811764420225505,0.0,0.0
3,2,0,0.0,-3.9511519721796864e-13,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,0.0,3.9511519721796864e-13,0.0,0.0
2,1,2,0.0,-3.452410903934985e-6,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,0.0,3.452410903934985e-6,0.0,0.0
1,0,4,0.0,-0.009481136967027572,0.0,0.0,0.0,0.0
0,1,4,0.0,-0.0,0.0,0.009481136967027572,0.0,0.0
3,2,1,0.0,1.7008382478977532e-12,0.0,0.0,0.0,0.0
2,3,1,0.0,-0.0,0.0,-1.7008382478977532e-12,0.0,0.0
2,1,3,0.0,6.977827641426936e-6,0.0,0.0,0.0,0.0
1,2,3,0.0,-0.0,0.0,-6.977827641426936e-6,0.0,0.0
1,0,5,0.0,-0.003802586946502082,0.0,0.0,0.0,0.0
0,1,5,0.0,-0.0,0.0,0.003802586946502082,0.0,0.0
3,2,2,0.0,-5.15149086187098e-12,0.0,0.0,0.0,0.0
2,3,2,0.0,-0.0,0.0,5.15149086187098e-12,0.0,0.0
2,1,4,0.0,-1.3013513594267352e-5,0.0,0.0,0.0,0.0
1,2,4,0.0,-0.0,0.0,1.3013513594267352e-5,0.0,0.0
1,0,6,0.0,0.003136928829243893,0.0,0.0,0.0,0.0
0,1,6,0.0,-0.0,0.0,-0.003136928829243893,0.0,0.0
3,2,3,0.0,1.177804271363738e-11,0.0,0.0,0.0,0.0
2,3,3,0.0,-0.0,0.0,-1.177804271363738e-11,0.0,0.0
2,1,5,0.0,2.370466653268801e-5,0.0,0.0,0.0,0.0
1,2,5,0.0,-0.0,0.0,-2.370466653268801e-5,0.0,0.0
3,2,4,0.0,-1.7894438436055322e-11,0.0,0.0,0.0,0.0
2,3,4,0.0,-0.0,0.0,1.7894438436055322e-11,0.0,0.0
2,1,6,0.0,-4.3101850573867795e-5,0.0,0.0,0.0,0.0
1,2,6,0.0,-0.0,0.0,4.3101850573867795e-5,0.0,0.0
