t d th
0 0 0
0.01 0.00539205 0.005
0.02 0.0056408 0.01
0.03 0.00774656 0.015
0.04 0.013454 0.02
0.05 0.0150222 0.025
0.06 0.0216699 0.03
0.07 0.0219602 0.035
0.08 0.0219791 0.04
0.09 0.0481193 0.045
0.1 0.0485073 0.05
0.11 0.0613352 0.055
0.12 0.0670695 0.06
0.13 0.0681117 0.065
0.14 0.068721 0.07
0.15 0.103677 0.075
0.16 0.108592 0.08
0.17 0.122199 0.085
0.18 0.124161 0.09
0.19 0.12537 0.095
0.2 0.129123 0.1
0.21 0.135351 0.105
0.22 0.135553 0.11
0.23 0.135554 0.115
0.24 0.135629 0.12
0.25 0.139474 0.125
0.26 0.140368 0.13
0.27 0.140631 0.135
0.28 0.142127 0.14
0.29 0.143189 0.145
0.3 0.144073 0.15
0.31 0.149676 0.155
0.32 0.164624 0.16
0.33 0.171175 0.165
0.34 0.173894 0.17
0.35 0.173896 0.175
0.36 0.177963 0.18
0.37 0.182349 0.185
0.38 0.194559 0.19
0.39 0.212156 0.195
0.4 0.214299 0.2
0.41 0.218802 0.205
0.42 0.22091 0.21
0.43 0.230688 0.215
0.44 0.236967 0.22
0.45 0.238675 0.225
0.46 0.239443 0.23
0.47 0.240223 0.235
0.48 0.242589 0.24
0.49 0.244236 0.245
0.5 0.249633 0.25
0.51 0.250103 0.255
0.52 0.250815 0.26
0.53 0.258336 0.265
0.54 0.27936 0.27
0.55 0.282157 0.275
0.56 0.28227 0.28
0.57 0.282276 0.285
0.58 0.290308 0.29
0.59 0.324306 0.295
0.6 0.326949 0.3
0.61 0.333108 0.305
0.62 0.334658 0.31
0.63 0.334702 0.315
0.64 0.334754 0.32
0.65 0.353548 0.325
0.66 0.354031 0.33
0.67 0.359733 0.335
0.68 0.361782 0.34
0.69 0.379576 0.345
0.7 0.38029 0.35
0.71 0.382508 0.355
0.72 0.385185 0.36
0.73 0.386103 0.365
0.74 0.389322 0.37
0.75 0.392931 0.375
0.76 0.396036 0.38
0.77 0.398501 0.385
0.78 0.405981 0.39
0.79 0.406023 0.395
0.8 0.421892 0.4
0.81 0.422334 0.405
0.82 0.422805 0.41
0.83 0.422921 0.415
0.84 0.427503 0.42
0.85 0.428266 0.425
0.86 0.429625 0.43
0.87 0.436365 0.435
0.88 0.439597 0.44
0.89 0.446707 0.445
