t I S Ith Sth
0 0 0 0 0
0.01 0 0.00539205 0.00039205 0.00539205
0.02 -0.00231625 0.00332454 -0.00667546 0.00332454
0.03 -0.00760802 0.000138539 -0.0148615 0.000138539
0.04 -0.00938645 0.00406752 -0.0159325 0.00406752
0.05 -0.0144377 0.000584477 -0.0244155 0.000584477
0.06 -0.01838 0.00328987 -0.0267101 0.00328987
0.07 -0.0203344 0.00162574 -0.0333743 0.00162574
0.08 -0.0199831 0.001996 -0.038004 0.001996
0.09 -0.0344297 0.0136896 -0.0313104 0.0136896
0.1 -0.0298208 0.0186864 -0.0313136 0.0186864
0.11 0.00114417 0.0624793 0.00747935 0.0624793
0.12 0.0390005 0.10607 0.04607 0.10607
0.13 0.060029 0.128141 0.0631408 0.128141
0.14 0.0423576 0.111079 0.0410786 0.111079
0.15 0.166982 0.270659 0.195659 0.270659
0.16 0.0940358 0.202627 0.122627 0.202627
0.17 0.199053 0.321252 0.236252 0.321252
0.18 0.24927 0.373431 0.283431 0.373431
0.19 0.20678 0.33215 0.23715 0.33215
0.2 0.277393 0.406516 0.306516 0.406516
0.21 0.176761 0.312112 0.207112 0.312112
0.22 0.160868 0.296421 0.186421 0.296421
0.23 0.159836 0.29539 0.18039 0.29539
0.24 0.150447 0.286075 0.166075 0.286075
0.25 0.21678 0.356253 0.231253 0.356253
0.26 0.25248 0.392848 0.262848 0.392848
0.27 0.272817 0.413448 0.278448 0.413448
0.28 0.322559 0.464686 0.324686 0.464686
0.29 0.278141 0.42133 0.27633 0.42133
0.3 0.316751 0.460824 0.310824 0.460824
0.31 0.215129 0.364805 0.209805 0.364805
0.32 0.0674392 0.232063 0.0720629 0.232063
0.33 0.145422 0.316597 0.151597 0.316597
0.34 0.204098 0.377992 0.207992 0.377992
0.35 0.20229 0.376186 0.201186 0.376186
0.36 0.280518 0.458481 0.278481 0.458481
0.37 0.370202 0.552551 0.367551 0.552551
0.38 0.205923 0.400482 0.210482 0.400482
0.39 0.0380264 0.250183 0.0551827 0.250183
0.4 0.0843361 0.298635 0.0986353 0.298635
0.41 0.0109935 0.229796 0.0247959 0.229796
0.42 -0.0330191 0.187891 -0.0221093 0.187891
0.43 -0.118745 0.111943 -0.103057 0.111943
0.44 -0.171771 0.0651968 -0.154803 0.0651968
0.45 -0.192872 0.0458027 -0.179197 0.0458027
0.46 -0.181006 0.0584375 -0.171562 0.0584375
0.47 -0.194508 0.0457156 -0.189284 0.0457156
0.48 -0.215307 0.0272823 -0.212718 0.0272823
0.49 -0.228713 0.0155228 -0.229477 0.0155228
0.5 -0.210406 0.039227 -0.210773 0.039227
0.51 -0.201825 0.0482772 -0.206723 0.0482772
0.52 -0.213552 0.0372625 -0.222738 0.0372625
0.53 -0.180069 0.078267 -0.186733 0.078267
0.54 -0.261198 0.018162 -0.251838 0.018162
0.55 -0.275452 0.00670484 -0.268295 0.00670484
0.56 -0.27371 0.00856007 -0.27144 0.00856007
0.57 -0.274144 0.00813165 -0.276868 0.00813165
0.58 -0.290307 3.0623e-07 -0.29 3.0623e-07
0.59 -0.290511 0.0337951 -0.261205 0.0337951
0.6 -0.309412 0.0175368 -0.282463 0.0175368
0.61 -0.330198 0.00291034 -0.30209 0.00291034
0.62 -0.32595 0.008708 -0.301292 0.008708
0.63 -0.327193 0.00750949 -0.307491 0.00750949
0.64 -0.328435 0.00631909 -0.313681 0.00631909
0.65 -0.306639 0.0469089 -0.278091 0.0469089
0.66 -0.316163 0.0378685 -0.292131 0.0378685
0.67 -0.286774 0.0729588 -0.262041 0.0729588
0.68 -0.311224 0.0505577 -0.289442 0.0505577
0.69 -0.251236 0.128339 -0.216661 0.128339
0.7 -0.270382 0.109908 -0.240092 0.109908
0.71 -0.301611 0.0808969 -0.274103 0.0808969
0.72 -0.272176 0.113009 -0.246991 0.113009
0.73 -0.292548 0.0935556 -0.271444 0.0935556
0.74 -0.327251 0.0620703 -0.30793 0.0620703
0.75 -0.297317 0.0956141 -0.279386 0.0956141
0.76 -0.262857 0.133179 -0.246821 0.133179
0.77 -0.226619 0.171882 -0.213118 0.171882
0.78 -0.298332 0.107649 -0.282351 0.107649
0.79 -0.302589 0.103434 -0.291566 0.103434
0.8 -0.383618 0.0382743 -0.361726 0.0382743
0.81 -0.375393 0.0469417 -0.358058 0.0469417
0.82 -0.365994 0.0568102 -0.35319 0.0568102
0.83 -0.360859 0.0620616 -0.352938 0.0620616
0.84 -0.394586 0.0329166 -0.387083 0.0329166
0.85 -0.384566 0.0436992 -0.381301 0.0436992
0.86 -0.399983 0.0296423 -0.400358 0.0296423
0.87 -0.428251 0.00811366 -0.426886 0.00811366
0.88 -0.438494 0.00110346 -0.438897 0.00110346
0.89 -0.432892 0.0138153 -0.431185 0.0138153
0.9 -0.445021 0.00434839 -0.445652 0.00434839
0.91 -0.445188 0.00418321 -0.450817 0.00418321
0.92 -0.45436 3.87899e-05 -0.459961 3.87899e-05
0.93 -0.455855 0.0129549 -0.452045 0.0129549
0.94 -0.465291 0.00523699 -0.464763 0.00523699
0.95 -0.462733 0.00810784 -0.466892 0.00810784
0.96 -0.46491 0.00607681 -0.473923 0.00607681
0.97 -0.467368 0.00386733 -0.481133 0.00386733
0.98 -0.457231 0.0206483 -0.469352 0.0206483
0.99 -0.453798 0.0242238 -0.470776 0.0242238
1 -0.455231 0.0228121 -0.477188 0.0228121
1.01 -0.453492 0.0245843 -0.480416 0.0245843
1.02 -0.437735 0.0428658 -0.467134 0.0428658
1.03 -0.439715 0.0409086 -0.474091 0.0409086
1.04 -0.453335 0.0284227 -0.491577 0.0284227
1.05 -0.454362 0.0274044 -0.497596 0.0274044
1.06 -0.43436 0.0510559 -0.478944 0.0510559
1.07 -0.437278 0.0481796 -0.48682 0.0481796
1.08 -0.404863 0.0860479 -0.453952 0.0860479
1.09 -0.362918 0.133104 -0.411896 0.133104
1.1 -0.31301 0.187691 -0.362309 0.187691
1.11 -0.30745 0.193292 -0.361708 0.193292
1.12 -0.280039 0.221674 -0.338326 0.221674
1.13 -0.351496 0.155976 -0.409024 0.155976
1.14 -0.315561 0.193981 -0.376019 0.193981
1.15 -0.224916 0.295215 -0.279785 0.295215
1.16 -0.354745 0.17966 -0.40034 0.17966
1.17 -0.367128 0.16749 -0.41751 0.16749
1.18 -0.385389 0.149727 -0.440273 0.149727
1.19 -0.348923 0.188413 -0.406587 0.188413
1.2 -0.280931 0.262539 -0.337461 0.262539
1.21 -0.390341 0.164528 -0.440472 0.164528
1.22 -0.390258 0.164611 -0.445389 0.164611
1.23 -0.440765 0.117978 -0.497022 0.117978
1.24 -0.439879 0.118866 -0.501134 0.118866
1.25 -0.417968 0.141787 -0.483213 0.141787
1.26 -0.356857 0.209482 -0.420518 0.209482
1.27 -0.412978 0.15712 -0.47788 0.15712
1.28 -0.464779 0.109589 -0.530411 0.109589
1.29 -0.417078 0.162481 -0.482519 0.162481
1.3 -0.37874 0.20308 -0.44692 0.20308
1.31 -0.531235 0.0792128 -0.575787 0.0792128
1.32 -0.530719 0.0797294 -0.580271 0.0797294
1.33 -0.597363 0.0270122 -0.637988 0.0270122
1.34 -0.58713 0.0382144 -0.631786 0.0382144
1.35 -0.587849 0.0374987 -0.637501 0.0374987
1.36 -0.588769 0.0365841 -0.643416 0.0365841
1.37 -0.644439 0.00209231 -0.682908 0.00209231
1.38 -0.636337 0.018039 -0.671961 0.018039
1.39 -0.677974 0.000428352 -0.694572 0.000428352
1.4 -0.678761 2.81235e-06 -0.699997 2.81235e-06
1.41 -0.678816 0.000210165 -0.70479 0.000210165
1.42 -0.678516 0.000616692 -0.709383 0.000616692
1.43 -0.684884 0.0106889 -0.704311 0.0106889
1.44 -0.684519 0.0110572 -0.708943 0.0110572
1.45 -0.695247 0.00293136 -0.722069 0.00293136
1.46 -0.703371 0.000436113 -0.729564 0.000436113
1.47 -0.70757 0.00634355 -0.728656 0.00634355
1.48 -0.707359 0.00655642 -0.733444 0.00655642
1.49 -0.700359 0.0154247 -0.729575 0.0154247
1.5 -0.676048 0.0493142 -0.700686 0.0493142
1.51 -0.706648 0.0234614 -0.731539 0.0234614
1.52 -0.716986 0.0142617 -0.745738 0.0142617
1.53 -0.699083 0.0377833 -0.727217 0.0377833
1.54 -0.746396 0.00528202 -0.764718 0.00528202
1.55 -0.732848 0.027518 -0.747482 0.027518
1.56 -0.766898 0.00400082 -0.775999 0.00400082
1.57 -0.766394 0.0045208 -0.780479 0.0045208
1.58 -0.772897 0.000356576 -0.789643 0.000356576
1.59 -0.768801 0.0162115 -0.778789 0.0162115
1.6 -0.757686 0.0292323 -0.770768 0.0292323
1.61 -0.747324 0.040512 -0.764488 0.040512
1.62 -0.740619 0.0474948 -0.762505 0.0474948
1.63 -0.718243 0.072506 -0.742494 0.072506
1.64 -0.772714 0.0282653 -0.791735 0.0282653
1.65 -0.746636 0.060359 -0.764641 0.060359
