t I S
0 0 0
0.001 0.000668181 0.00100379
0.002 -0.000318051 0.000586864
0.003 0.000365351 0.00159297
0.004 0.00195826 0.00382417
0.005 0.00409196 0.00635481
0.006 0.00179854 0.00430525
0.007 0.0015905 0.0044461
0.008 0.00122504 0.00490764
0.009 2.02307e-05 0.00395404
0.01 0.00125552 0.00539205
0.011 0.0014416 0.00591766
0.012 -0.00061929 0.00451277
0.013 -0.00186382 0.00387292
0.014 0.000687671 0.00691959
0.015 0.000958428 0.00762493
0.016 -0.00115946 0.0058496
0.017 -0.00462305 0.00286531
0.018 -0.00729028 0.000794183
0.019 -0.00643036 0.00196943
0.02 -0.00531642 0.00332454
0.021 -0.0094945 0.000203548
0.022 -0.00991882 5.27326e-06
0.023 -0.0106801 1.71968e-05
0.024 -0.011246 1.66219e-05
0.025 -0.0116008 1.83452e-05
0.026 -0.0120955 0.000196013
0.027 -0.012049 0.00119049
0.028 -0.012382 0.0012186
0.029 -0.0136598 0.000625581
0.03 -0.014343 0.000138539
0.031 -0.0146789 1.61685e-05
0.032 -0.0142057 0.000738647
0.033 -0.0131703 0.0023065
0.034 -0.0144951 0.0011575
0.035 -0.0159508 1.54009e-07
0.036 -0.0161788 1.77165e-05
0.037 -0.0160115 0.000389363
0.038 -0.0125813 0.00455678
0.039 -0.0149362 0.002768
0.04 -0.0143402 0.00406752
0.041 -0.0165579 0.00209653
0.042 -0.0157192 0.00344731
0.043 -0.0103501 0.00962843
0.044 -0.0145351 0.00623687
0.045 -0.0190549 0.00216629
0.046 -0.0211297 0.000385334
0.047 -0.0209247 0.000891429
0.048 -0.0198062 0.00318346
0.049 -0.0226943 0.000863164
0.05 -0.02344 0.000584477
0.051 -0.0242773 0.000208572
0.052 -0.0245286 0.000139248
0.053 -0.0242866 0.000942406
0.054 -0.0223447 0.00324937
0.055 -0.0216684 0.0045234
0.056 -0.0221039 0.004213
0.057 -0.0213277 0.00577213
0.058 -0.0230763 0.00465788
0.059 -0.0251612 0.00298765
0.06 -0.025023 0.00328987
0.061 -0.0272383 0.00183763
0.062 -0.029265 0.000240703
0.063 -0.0298978 0.000167598
0.064 -0.0301899 0.000535455
0.065 -0.0292674 0.00211663
0.066 -0.0317689 0.000248676
0.067 -0.031444 0.00117307
0.068 -0.0317548 0.0016368
0.069 -0.0317715 0.00188075
0.07 -0.032328 0.00162574
0.071 -0.031561 0.00332147
0.072 -0.0323332 0.00264429
0.073 -0.0300533 0.00524771
0.074 -0.0334285 0.00238137
0.075 -0.0272698 0.00899853
0.076 -0.0279817 0.00899057
0.077 -0.0345239 0.00322532
0.078 -0.0351166 0.00293238
0.079 -0.0362303 0.00219287
0.08 -0.0366611 0.001996
0.081 -0.0364912 0.00238139
0.082 -0.0384409 0.000813506
0.083 -0.0399034 1.2343e-06
0.084 -0.0400632 0.000277516
0.085 -0.0407847 2.79034e-06
0.086 -0.0411072 4.31287e-06
0.087 -0.040959 0.000810211
0.088 -0.0415314 0.000640652
0.089 -0.0372682 0.0055999
0.09 -0.0295754 0.0136896
0.091 -0.0232112 0.0205272
0.092 -0.018086 0.0258235
0.093 -0.0174757 0.0269024
0.094 -0.0246742 0.0203612
0.095 -0.0273461 0.018202
0.096 -0.0211254 0.0247198
0.097 -0.0122695 0.0341033
0.098 -0.0276641 0.0194362
0.099 -0.0254894 0.0219186
0.1 -0.0292275 0.0186864
0.101 -0.018943 0.0292944
0.102 -0.00954091 0.039224
0.103 0.00190722 0.0511625
0.104 -0.00242861 0.0473733
0.105 0.0132851 0.0636879
0.106 0.0153575 0.0659314
0.107 -0.00055816 0.0509059
0.108 -0.000696774 0.0512023
0.109 0.00793772 0.0601475
0.11 0.00996753 0.0624793
0.111 0.0123572 0.0659496
0.112 0.0334589 0.0874597
0.113 0.0419562 0.0964119
0.114 0.0637489 0.118597
0.115 0.0590122 0.11429
0.116 0.0569917 0.113175
0.117 0.0735227 0.131028
0.118 0.0543002 0.112125
0.119 0.0502854 0.10858
0.12 0.0474149 0.10607
0.121 0.0444955 0.103474
0.122 0.0444457 0.103965
0.123 0.0578173 0.117735
0.124 0.0809269 0.141759
0.125 0.0499311 0.11109
0.126 0.0536148 0.115342
0.127 0.0461735 0.10822
0.128 0.0663083 0.128855
0.129 0.0412539 0.104468
0.13 0.0645176 0.128141
0.131 0.0674025 0.131252
0.132 0.063388 0.127551
0.133 0.0502273 0.114748
0.134 0.0632064 0.128071
0.135 0.0527985 0.118366
0.136 0.0234165 0.0897446
0.137 0.0167799 0.0833382
0.138 0.0218763 0.0891788
0.139 0.0433347 0.11119
0.14 0.042746 0.111079
0.141 0.0477168 0.116515
0.142 0.0842512 0.153595
0.143 0.0719279 0.141912
0.144 0.0943454 0.164598
0.145 0.10444 0.175006
0.146 0.145886 0.217256
0.147 0.138312 0.210059
0.148 0.133627 0.205576
0.149 0.129059 0.201695
0.15 0.196987 0.270659
0.151 0.21163 0.285573
0.152 0.202386 0.276955
0.153 0.225773 0.30092
0.154 0.169073 0.24503
0.155 0.19821 0.27466
0.156 0.193979 0.270703
0.157 0.169266 0.246531
0.158 0.147587 0.225328
0.159 0.151335 0.229272
0.16 0.123569 0.202627
0.161 0.124042 0.203448
0.162 0.137744 0.217935
0.163 0.161863 0.242585
0.164 0.159664 0.240846
0.165 0.200597 0.282411
0.166 0.218749 0.300807
0.167 0.215333 0.297919
0.168 0.235921 0.318951
0.169 0.23228 0.315524
0.17 0.237574 0.321252
0.171 0.271912 0.355953
0.172 0.270105 0.354537
0.173 0.306283 0.391103
0.174 0.295504 0.380803
0.175 0.321335 0.406862
0.176 0.33053 0.417004
0.177 0.352491 0.439547
0.178 0.328827 0.416215
0.179 0.301333 0.389198
0.18 0.285241 0.373431
0.181 0.253332 0.342312
0.182 0.227977 0.317492
0.183 0.227161 0.316872
0.184 0.23222 0.322101
0.185 0.219574 0.309876
0.186 0.242156 0.332931
0.187 0.2417 0.3331
0.188 0.229867 0.321742
0.189 0.230611 0.322814
0.19 0.239764 0.33215
0.191 0.227257 0.320018
0.192 0.232292 0.325724
0.193 0.225811 0.320362
0.194 0.239275 0.334461
0.195 0.251677 0.346982
0.196 0.258779 0.355274
0.197 0.281191 0.37781
0.198 0.278848 0.376094
0.199 0.281844 0.379418
0.2 0.308655 0.406516
0.201 0.283289 0.381491
0.202 0.229546 0.328317
0.203 0.231177 0.330841
0.204 0.252989 0.353371
0.205 0.241507 0.342039
0.206 0.222353 0.323163
0.207 0.225547 0.326865
0.208 0.248191 0.349761
0.209 0.210437 0.312612
0.21 0.209554 0.312112
0.211 0.210664 0.31366
0.212 0.168738 0.272224
0.213 0.205191 0.3092
0.214 0.202767 0.307154
0.215 0.184768 0.289572
0.216 0.192133 0.297287
0.217 0.187867 0.293466
0.218 0.20752 0.313764
0.219 0.19465 0.301491
0.22 0.189078 0.296421
0.221 0.204872 0.312667
0.222 0.211877 0.320065
0.223 0.212883 0.32158
0.224 0.1957 0.304863
0.225 0.205514 0.315317
0.226 0.182153 0.29265
0.227 0.188145 0.299064
0.228 0.17038 0.28158
0.229 0.163676 0.275341
0.23 0.183203 0.29539
0.231 0.237507 0.350566
0.232 0.252852 0.366254
0.233 0.288261 0.402003
0.234 0.280213 0.394172
0.235 0.27086 0.38525
0.236 0.278129 0.392963
0.237 0.242616 0.358208
0.238 0.248129 0.364025
0.239 0.234501 0.350663
0.24 0.169367 0.286075
0.241 0.175292 0.292494
0.242 0.186933 0.304564
0.243 0.204223 0.322196
0.244 0.186974 0.3052
0.245 0.193411 0.31207
0.246 0.195263 0.314202
0.247 0.207571 0.326758
0.248 0.230484 0.350387
0.249 0.232552 0.353092
0.25 0.235416 0.356253
0.251 0.236277 0.357985
0.252 0.22179 0.343835
0.253 0.277629 0.400489
0.254 0.269988 0.393141
0.255 0.282907 0.406857
0.256 0.256067 0.380949
0.257 0.233263 0.358402
0.258 0.269308 0.395277
0.259 0.269166 0.395426
0.26 0.266108 0.392848
0.261 0.226297 0.353728
0.262 0.241618 0.369321
0.263 0.273894 0.401941
0.264 0.315272 0.443651
0.265 0.290284 0.419122
0.266 0.316603 0.445839
0.267 0.29259 0.422249
0.268 0.249654 0.379747
0.269 0.264666 0.395006
0.27 0.282692 0.413448
0.271 0.350139 0.481404
0.272 0.341017 0.472848
0.273 0.389765 0.522339
0.274 0.45734 0.590565
0.275 0.434574 0.568238
0.276 0.44611 0.580188
0.277 0.455353 0.589605
0.278 0.417417 0.551855
0.279 0.363805 0.498573
0.28 0.329611 0.464686
0.281 0.327043 0.46279
0.282 0.352091 0.488428
0.283 0.37704 0.513791
0.284 0.414425 0.552057
0.285 0.369061 0.507139
0.286 0.374122 0.5125
0.287 0.37051 0.509175
0.288 0.31814 0.457184
0.289 0.253563 0.393627
0.29 0.279849 0.42133
0.291 0.259419 0.401236
0.292 0.298214 0.44041
0.293 0.324392 0.466823
0.294 0.32359 0.466464
0.295 0.279786 0.423396
0.296 0.331257 0.475467
0.297 0.294317 0.438919
0.298 0.301346 0.446597
0.299 0.312055 0.45796
0.3 0.314651 0.460824
0.301 0.290038 0.436923
0.302 0.241473 0.38924
0.303 0.235706 0.383838
0.304 0.196744 0.345332
0.305 0.209022 0.358038
0.306 0.173729 0.323184
0.307 0.180357 0.330138
0.308 0.218757 0.369142
0.309 0.198956 0.349942
0.31 0.213407 0.364805
0.311 0.215921 0.367891
0.312 0.210744 0.363097
0.313 0.199461 0.352169
0.314 0.201241 0.354333
0.315 0.17194 0.325424
0.316 0.132288 0.286601
0.317 0.0956999 0.250315
0.318 0.0737356 0.22879
0.319 0.0941676 0.249788
0.32 0.075616 0.232063
0.321 0.0884036 0.245129
0.322 0.112874 0.270383
0.323 0.128986 0.286895
0.324 0.11466 0.273282
0.325 0.120874 0.280346
0.326 0.152416 0.312232
0.327 0.170498 0.330706
0.328 0.194105 0.354638
0.329 0.163674 0.32478
0.33 0.154547 0.316597
0.331 0.181851 0.344298
0.332 0.204729 0.367922
0.333 0.193574 0.357117
0.334 0.213157 0.37746
0.335 0.240793 0.405586
0.336 0.207941 0.373067
0.337 0.168871 0.334699
0.338 0.150585 0.317037
0.339 0.194531 0.361492
0.34 0.210193 0.377992
0.341 0.224471 0.392866
0.342 0.211814 0.380625
0.343 0.234686 0.403917
0.344 0.268032 0.437861
0.345 0.259342 0.429457
0.346 0.224518 0.395514
0.347 0.248027 0.419514
0.348 0.231372 0.403457
0.349 0.185428 0.358236
0.35 0.203101 0.376186
0.351 0.194284 0.367597
0.352 0.192713 0.366827
0.353 0.157443 0.332585
0.354 0.20183 0.377737
0.355 0.239444 0.415851
0.356 0.222795 0.399936
0.357 0.239681 0.417315
0.358 0.214116 0.392077
0.359 0.232676 0.411446
0.36 0.27901 0.458481
0.361 0.269305 0.449297
0.362 0.294153 0.47437
0.363 0.252948 0.433889
0.364 0.267154 0.448199
0.365 0.240774 0.422023
0.366 0.253057 0.434845
0.367 0.262666 0.4447
0.368 0.287435 0.469733
0.369 0.321587 0.504481
0.37 0.369367 0.552551
0.371 0.392623 0.576166
0.372 0.407726 0.592538
0.373 0.377613 0.563359
0.374 0.340571 0.526735
0.375 0.310439 0.497149
0.376 0.312766 0.500017
0.377 0.322617 0.510113
0.378 0.248382 0.436627
0.379 0.230864 0.419395
0.38 0.211809 0.400482
0.381 0.168607 0.357881
0.382 0.115475 0.305171
0.383 0.126902 0.316865
0.384 0.109685 0.300009
0.385 0.107343 0.298191
0.386 0.0911533 0.282324
0.387 0.094993 0.286433
0.388 0.0657727 0.257746
0.389 0.043141 0.235624
0.39 0.0572483 0.250183
0.391 0.0645292 0.25803
0.392 0.0551097 0.248973
0.393 0.0542276 0.248539
0.394 0.07608 0.270809
0.395 0.0648248 0.2601
0.396 0.0806354 0.276316
0.397 0.106219 0.30263
0.398 0.113415 0.310098
0.399 0.147336 0.345271
0.4 0.0997472 0.298635
0.401 0.06637 0.265835
0.402 0.0432084 0.242889
0.403 0.0427322 0.243174
0.404 0.00960255 0.210769
0.405 0.0355604 0.237375
0.406 0.0487179 0.250794
0.407 0.0422649 0.244625
0.408 0.00677223 0.209523
0.409 0.0225737 0.225891
0.41 0.0261485 0.229796
0.411 0.0342025 0.238227
0.412 0.0200558 0.224801
0.413 0.0295344 0.234776
0.414 0.0487756 0.254213
0.415 0.0398004 0.245888
0.416 0.0442821 0.25056
0.417 0.0333269 0.239911
0.418 0.0256084 0.23256
0.419 0.0209462 0.228296
0.42 -0.0207956 0.187891
0.421 -0.0655222 0.143862
0.422 -0.0732969 0.136677
0.423 -0.0668556 0.143805
0.424 -0.0707158 0.140598
0.425 -0.0690138 0.142925
0.426 -0.0624309 0.149863
0.427 -0.0643912 0.148311
0.428 -0.0980561 0.115088
0.429 -0.0787903 0.134978
0.43 -0.102286 0.111943
0.431 -0.127348 0.0873277
0.432 -0.129411 0.08563
0.433 -0.121825 0.0936426
0.434 -0.135799 0.0801887
0.435 -0.13489 0.0815934
0.436 -0.14172 0.075196
0.437 -0.136126 0.081181
0.438 -0.146388 0.07174
0.439 -0.155868 0.0624581
0.44 -0.153513 0.0651968
0.441 -0.143738 0.0751836
0.442 -0.171592 0.0481864
0.443 -0.173331 0.0468829
0.444 -0.183018 0.0377518
0.445 -0.187281 0.0340011
0.446 -0.191236 0.0305233
0.447 -0.177905 0.0443354
0.448 -0.163023 0.0596455
0.449 -0.170386 0.0526002
0.45 -0.177839 0.0458027
0.451 -0.183376 0.0405959
0.452 -0.192696 0.0315675
0.453 -0.181675 0.0431624
0.454 -0.177951 0.0470701
0.455 -0.180049 0.045435
0.456 -0.176575 0.0492237
0.457 -0.172981 0.0533302
0.458 -0.175737 0.0509625
0.459 -0.171457 0.0555593
0.46 -0.169034 0.0584375
0.461 -0.161261 0.0666162
0.462 -0.172858 0.0558141
0.463 -0.163195 0.0659094
0.464 -0.19582 0.0346016
